,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Fiocchi di latte,100g,1 bicchiere (226 g),98 kcal,412 kJ,Formaggio cremoso
1,Formaggio cremoso,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
2,Formaggio cremoso alle erbe,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
3,Formaggio di capra,100g,1 cucchiaino (10 g),364 kcal,1529 kJ,Formaggio cremoso
4,Formaggio al rafano,100g,1 cucchiaio (15 g),48 kcal,202 kJ,Formaggio cremoso
5,Mascarpone,100g,1 cucchiaio (14.5 g),450 kcal,1890 kJ,Formaggio cremoso
6,Obatzda,100g,1 cucchiaio (15 g),303 kcal,1273 kJ,Formaggio cremoso
7,Formaggio cremoso Philadelphia / Philadelphia,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
8,Formaggio cremoso all'erba cipollina,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
9,Feta cremosa spalmabile,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
10,Formaggio cremoso all'aglio,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
11,Formaggio cremoso alle olive,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
12,Formaggio cremoso alle noci,100g,1 cucchiaio (14.5 g),342 kcal,1436 kJ,Formaggio cremoso
13,Stracchino / Certosa / Crescenza,100g,1 cucchiaio (15 g),248 kcal,1042 kJ,Formaggio cremoso
