,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,After Eight,100g,1 after eight (8 g),452 kcal,1898 kJ,Caramelle e dolciumi
1,Mela candita,100g,1 mela (141 g),152 kcal,638 kJ,Caramelle e dolciumi
2,Bastoncino di zucchero candito,100g,1 pezzo (14 g),423 kcal,1777 kJ,Caramelle e dolciumi
3,Celebrations,100g,1 pezzo (9 g),490 kcal,2058 kJ,Caramelle e dolciumi
4,Tavoletta di cioccolata,100g,1 tavoletta (45 g),533 kcal,2239 kJ,Caramelle e dolciumi
5,Scaglie di cioccolato,100g,1 cucchiaio (14 g),493 kcal,2071 kJ,Caramelle e dolciumi
6,Biscotti,100g,1 biscotto (16 g),488 kcal,2050 kJ,Caramelle e dolciumi
7,Zucchero filato,100g,1 porzione (75 g),643 kcal,2701 kJ,Caramelle e dolciumi
8,French toast / Pane all'uovo,100g,1 french toast (85 g),196 kcal,823 kJ,Caramelle e dolciumi
9,Ferrero Rocher,100g,1 pezzo (12.5 g),576 kcal,2419 kJ,Caramelle e dolciumi
10,Biscotti della fortuna,100g,1 biscotto (7 g),214 kcal,899 kJ,Caramelle e dolciumi
11,Barrette ai cereali,100g,1 barretta (21 g),452 kcal,1898 kJ,Caramelle e dolciumi
12,Orsetti gommosi,100g,20 pezzi (54 g),316 kcal,1327 kJ,Caramelle e dolciumi
13,Wafer,100g,1 wafer (22 g),541 kcal,2272 kJ,Caramelle e dolciumi
14,Gelatine,100g,10 pezzi (30 g),354 kcal,1487 kJ,Caramelle e dolciumi
15,Kit Kat,100g,1 barretta (45 g),521 kcal,2188 kJ,Caramelle e dolciumi
16,Liquerizia,100g,5 pezzi (29 g),375 kcal,1575 kJ,Caramelle e dolciumi
17,M&M's,100g,20 pezzi (14 g),479 kcal,2012 kJ,Caramelle e dolciumi
18,Maltesers,100g,1 confezione (37 g),498 kcal,2092 kJ,Caramelle e dolciumi
19,Marshmallow,100g,5 pezzi (39 g),318 kcal,1336 kJ,Caramelle e dolciumi
20,Marzapane,100g,1 pezzo (20 g),411 kcal,1726 kJ,Caramelle e dolciumi
21,Milky Way,100g,1 barretta (22 g),449 kcal,1886 kJ,Caramelle e dolciumi
22,Pez,100g,1 confezione (8 g),427 kcal,1793 kJ,Caramelle e dolciumi
23,Popcorn,100g,1 bicchiere (11 g),582 kcal,2444 kJ,Caramelle e dolciumi
24,Semi di zucca,100g,1 cucchiaio (10 g),560 kcal,2352 kJ,Caramelle e dolciumi
25,Budino di riso,100g,1 bicchiere (225 g),134 kcal,563 kJ,Caramelle e dolciumi
26,Barrette alle mandorle,100g,1 barretta (21 g),452 kcal,1898 kJ,Caramelle e dolciumi
27,Rolo,100g,5 pezzi (30 g),474 kcal,1991 kJ,Caramelle e dolciumi
