,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Vodka,100ml,1 bicchierino (25 ml),231 kcal,970 kJ,Bevande alcoliche
1,Birra,100ml,1 bottiglietta (355 ml),43 kcal,181 kJ,Bevande alcoliche
2,Vino,100ml,1 bicchiere (150 ml),83 kcal,349 kJ,Bevande alcoliche
3,Vino bianco,100ml,1 bicchiere (150 ml),82 kcal,344 kJ,Bevande alcoliche
4,Vino rosso,100ml,1 bicchiere (150 ml),85 kcal,357 kJ,Bevande alcoliche
5,Tequila,100ml,1 bicchierino (25 ml),110 kcal,462 kJ,Bevande alcoliche
6,Gin,100ml,1 bicchierino (25 ml),263 kcal,1105 kJ,Bevande alcoliche
7,Jack Daniel's,100ml,1 dose (44 ml),146 kcal,613 kJ,Bevande alcoliche
8,Champagne,100ml,1 bicchiere (100 ml),75 kcal,315 kJ,Bevande alcoliche
9,Rum,100ml,1 dose (44 ml),231 kcal,970 kJ,Bevande alcoliche
10,Scotch,100ml,1 dose (44 ml),222 kcal,932 kJ,Bevande alcoliche
11,Bourbon,100ml,1 dose (44 ml),233 kcal,979 kJ,Bevande alcoliche
12,Baileys,100ml,1 dose (44 ml),327 kcal,1373 kJ,Bevande alcoliche
13,Prosecco,100ml,1 bicchiere (100 ml),66 kcal,277 kJ,Bevande alcoliche
14,Whisky,100ml,1 dose (44 ml),250 kcal,1050 kJ,Bevande alcoliche
15,Sangria,100ml,1 bicchiere (250 ml),96 kcal,403 kJ,Bevande alcoliche
16,Kahlua,100ml,1 bicchierino (25 ml),180 kcal,756 kJ,Bevande alcoliche
17,Southern Comfort,100ml,1 dose (44 ml),247 kcal,1037 kJ,Bevande alcoliche
18,Amaretto,100ml,1 bicchierino (25 ml),310 kcal,1302 kJ,Bevande alcoliche
19,Jim Beam,100ml,1 dose (44 ml),222 kcal,932 kJ,Bevande alcoliche
20,Vino rosato / Vino rosè,100ml,1 bicchiere (150 ml),71 kcal,298 kJ,Bevande alcoliche
21,Brandy,100ml,1 dose (44 ml),213 kcal,895 kJ,Bevande alcoliche
22,Grand Marnier,100ml,1 dose (44 ml),253 kcal,1063 kJ,Bevande alcoliche
23,Sambuca,100ml,1 bicchierino (25 ml),333 kcal,1399 kJ,Bevande alcoliche
24,Triple Sec,100ml,1 bicchiere (150 ml),153 kcal,643 kJ,Bevande alcoliche
25,Cognac,100ml,1 dose (44 ml),235 kcal,987 kJ,Bevande alcoliche
26,Cointreau,100ml,1 dose (44 ml),320 kcal,1344 kJ,Bevande alcoliche
27,Vermouth,100ml,1 dose (44 ml),130 kcal,546 kJ,Bevande alcoliche
28,Frangelico,100ml,1 dose (44 ml),238 kcal,1000 kJ,Bevande alcoliche
29,Bailey's Irish Cream,100ml,1 dose (44 ml),327 kcal,1373 kJ,Bevande alcoliche
30,Assenzio,100ml,1 dose (44 ml),348 kcal,1462 kJ,Bevande alcoliche
31,Sherry,100ml,1 dose (44 ml),116 kcal,487 kJ,Bevande alcoliche
32,Drambuie,100ml,1 dose (44 ml),358 kcal,1504 kJ,Bevande alcoliche
33,Chambord,100ml,1 bicchiere (150 ml),348 kcal,1462 kJ,Bevande alcoliche
34,Midori,100ml,1 dose (44 ml),267 kcal,1121 kJ,Bevande alcoliche
35,Blue Curaçao,100ml,1 dose (44 ml),243 kcal,1021 kJ,Bevande alcoliche
36,Advocaat,100ml,1 dose (44 ml),283 kcal,1189 kJ,Bevande alcoliche
37,Glenfiddich,100ml,1 dose (44 ml),230 kcal,966 kJ,Bevande alcoliche
38,Punch,100ml,1 bicchiere (237 ml),62 kcal,260 kJ,Bevande alcoliche
39,Asti spumante,100ml,1 bicchiere (100 ml),138 kcal,580 kJ,Bevande alcoliche
40,Liquore,100ml,1 bicchierino (25 ml),250 kcal,1050 kJ,Bevande alcoliche
41,Whisky canadese,100ml,1 dose (44 ml),216 kcal,907 kJ,Bevande alcoliche
42,Sidro,100ml,1 bicchiere (150 ml),49 kcal,206 kJ,Bevande alcoliche
43,Sloe Gin,100ml,1 bicchierino (25 ml),332 kcal,1394 kJ,Bevande alcoliche
44,Whisky irlandese,100ml,1 dose (44 ml),233 kcal,979 kJ,Bevande alcoliche
45,Jägermeister,100ml,1 bicchierino (25 ml),250 kcal,1050 kJ,Bevande alcoliche
46,Amaro / Bitter,100ml,1 lattina (33 ml),200 kcal,840 kJ,Bevande alcoliche
47,Grappa,100ml,1 dose (44 ml),286 kcal,1201 kJ,Bevande alcoliche
48,Marsala,100ml,1 bicchiere (118 ml),97 kcal,407 kJ,Bevande alcoliche
49,Passito,100ml,1 bicchiere (118 ml),112 kcal,470 kJ,Bevande alcoliche
50,Pernod,100ml,1 bicchiere (118 ml),77 kcal,323 kJ,Bevande alcoliche
51,Martini,100ml,1 dose (44 ml),125 kcal,525 kJ,Bevande alcoliche
52,Limoncello,100ml,1 bicchiere (44 ml),363 kcal,1525 kJ,Bevande alcoliche
53,Calvados,100ml,1 dose (44 ml),252 kcal,1058 kJ,Bevande alcoliche
54,Amaro Averna,100ml,1 dose (44 ml),327 kcal,1373 kJ,Bevande alcoliche
55,Amaro Montenegro,100ml,1 dose (44 ml),195 kcal,819 kJ,Bevande alcoliche
56,Cynar,100ml,1 dose (44 ml),123 kcal,517 kJ,Bevande alcoliche
57,Amaro Ramazzotti,100ml,1 dose (44 ml),275 kcal,1155 kJ,Bevande alcoliche
58,Amaro Lucano,100ml,1 dose (44 ml),195 kcal,819 kJ,Bevande alcoliche
