,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Latte,100g,1 bicchiere (244 g),61 kcal,256 kJ,Latte e prodotti caseari
1,Latte di mandorle,100g,1 bicchiere (235 g),17 kcal,71 kJ,Latte e prodotti caseari
2,Fiocchi di latte,100g,1 bicchiere (210 g),98 kcal,412 kJ,Latte e prodotti caseari
3,Latte scremato,100g,1 bicchiere (247 g),35 kcal,147 kJ,Latte e prodotti caseari
4,Latte di cocco,100g,1 bicchiere (240 g),230 kcal,966 kJ,Latte e prodotti caseari
5,Latte intero,100g,1 bicchiere (244 g),61 kcal,256 kJ,Latte e prodotti caseari
6,Yogurt,100g,1 bicchiere (227 g),61 kcal,256 kJ,Latte e prodotti caseari
7,Cioccolata calda,100g,1 bicchiere (266 g),89 kcal,374 kJ,Latte e prodotti caseari
8,Latte di soia,100g,1 bicchiere (243 g),45 kcal,189 kJ,Latte e prodotti caseari
9,Panna acida,100g,1 cucchiaio (12 g),181 kcal,760 kJ,Latte e prodotti caseari
10,Latte parzialmente scremato,100g,1 porzione (250 g),50 kcal,210 kJ,Latte e prodotti caseari
11,Tzatziki,100g,1 cucchiaio (15 g),117 kcal,491 kJ,Latte e prodotti caseari
12,Panna montata,100g,1 cucchiaio (3 g),257 kcal,1079 kJ,Latte e prodotti caseari
13,Risolatte / Crema di riso,100g,1 porzione (113 g),118 kcal,496 kJ,Latte e prodotti caseari
14,Latte condensato,100g,1 bicchiere (306 g),321 kcal,1348 kJ,Latte e prodotti caseari
15,Panna,100g,1 cucchiaio (15 g),242 kcal,1016 kJ,Latte e prodotti caseari
16,Latticello,100g,1 bicchiere (254 g),62 kcal,260 kJ,Latte e prodotti caseari
17,Crème fraîche,100g,1 cucchiaio (14 g),393 kcal,1651 kJ,Latte e prodotti caseari
18,Kefir,100g,1 bicchiere (246 g),55 kcal,231 kJ,Latte e prodotti caseari
19,Mousse al cioccolato,100g,1/2 bicchiere (202 g),225 kcal,945 kJ,Latte e prodotti caseari
20,Latte condensato zuccherato,100g,1 bicchiere (306 g),321 kcal,1348 kJ,Latte e prodotti caseari
21,Latte di riso,100g,1 bicchiere (245 g),49 kcal,206 kJ,Latte e prodotti caseari
22,Latte di capra,100g,1 bicchiere (244 g),69 kcal,290 kJ,Latte e prodotti caseari
23,Latte in polvere,100g,1 bicchiere (68 g),496 kcal,2083 kJ,Latte e prodotti caseari
24,Lassi,100g,1 bicchiere (200 g),75 kcal,315 kJ,Latte e prodotti caseari
25,Latte senza lattosio,100g,1 bicchiere (250 g),52 kcal,218 kJ,Latte e prodotti caseari
26,Cagliata,100g,1 bicchiere (210 g),98 kcal,412 kJ,Latte e prodotti caseari
27,Budino di semola,100g,1 porzione (143 g),67 kcal,281 kJ,Latte e prodotti caseari
28,Panna per il caffè / Coffee creamer,100g,1 cucchiaio (15 g),195 kcal,819 kJ,Latte e prodotti caseari
