,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Succo d'arancia,100ml,1 bottiglia (1000 ml),46 kcal,193 kJ,Succhi di frutta
1,Latte di cocco,100ml,1 bottiglia (1000 ml),233 kcal,979 kJ,Succhi di frutta
2,Acqua di cocco,100ml,1 bottiglia (1000 ml),19 kcal,80 kJ,Succhi di frutta
3,Succo di mela,100ml,1 bottiglia (1000 ml),46 kcal,193 kJ,Succhi di frutta
4,Succo di carota,100ml,1 bottiglia (1000 ml),40 kcal,168 kJ,Succhi di frutta
5,Succo di limone,100ml,1 bottiglia (1000 ml),21 kcal,88 kJ,Succhi di frutta
6,Limonata,100ml,1 bottiglia (1000 ml),50 kcal,210 kJ,Succhi di frutta
7,Lassi al mango,100ml,1 bottiglia (1000 ml),66 kcal,277 kJ,Succhi di frutta
8,Succo di cranberry / Succo di mirtilli rossi,100ml,1 bottiglia (1000 ml),46 kcal,193 kJ,Succhi di frutta
9,Succo di ananas,100ml,1 bottiglia (1000 ml),53 kcal,223 kJ,Succhi di frutta
10,Succo di pompelmo,100ml,1 bottiglia (1000 ml),46 kcal,193 kJ,Succhi di frutta
11,Succo di pomodoro,100ml,1 bottiglia (1000 ml),17 kcal,71 kJ,Succhi di frutta
12,Succo di lime,100ml,1 bottiglia (1000 ml),21 kcal,88 kJ,Succhi di frutta
13,Succo d'uva,100ml,1 bottiglia (1000 ml),60 kcal,252 kJ,Succhi di frutta
14,Succo di verdura,100ml,1 bottiglia (1000 ml),21 kcal,88 kJ,Succhi di frutta
15,Succo di cetriolo,100ml,1 bottiglia (1000 ml),10 kcal,42 kJ,Succhi di frutta
16,Succo di acai,100ml,1 bottiglia (1000 ml),58 kcal,244 kJ,Succhi di frutta
17,Succo di melagrana,100ml,1 bottiglia (1000 ml),66 kcal,277 kJ,Succhi di frutta
18,Camomilla,100ml,1 bottiglia (1000 ml),0 kcal,0 kJ,Succhi di frutta
19,Bevanda energetica / Energy drink,100ml,1 lattina (250 ml),87 kcal,365 kJ,Succhi di frutta
20,Aloe vera,100ml,1 bottiglia (1000 ml),44 kcal,185 kJ,Succhi di frutta
21,Succo di ciliegia,100ml,1 bottiglia (1000 ml),45 kcal,189 kJ,Succhi di frutta
22,Succo di pera,100ml,1 bottiglia (1000 ml),60 kcal,252 kJ,Succhi di frutta
23,Succo di uva bianca,100ml,1 bottiglia (1000 ml),75 kcal,315 kJ,Succhi di frutta
24,Nestea,100ml,1 bottiglia (1000 ml),21 kcal,88 kJ,Succhi di frutta
25,Succo del frutto della passione,100ml,1 bottiglia (1000 ml),48 kcal,202 kJ,Succhi di frutta
26,Succo di papaya,100ml,1 bottiglia (1000 ml),58 kcal,244 kJ,Succhi di frutta
27,Succo di banana,100ml,1 bottiglia (1000 ml),50 kcal,210 kJ,Succhi di frutta
28,Succo di pesca,100ml,1 bottiglia (1000 ml),54 kcal,227 kJ,Succhi di frutta
29,Nettare di pesca,100ml,1 bottiglia (1000 ml),54 kcal,227 kJ,Succhi di frutta
30,Succo di prugna,100ml,1 bottiglia (1000 ml),71 kcal,298 kJ,Succhi di frutta
31,Nettare di albicocca,100ml,1 bottiglia (1000 ml),56 kcal,235 kJ,Succhi di frutta
32,Succo di more,100ml,1 bottiglia (1000 ml),48 kcal,202 kJ,Succhi di frutta
33,Nettare di pera,100ml,1 bottiglia (1000 ml),60 kcal,252 kJ,Succhi di frutta
34,Succo di crauti,100ml,1 bottiglia (1000 ml),14 kcal,59 kJ,Succhi di frutta
35,Succo di mandarino,100ml,1 bottiglia (1000 ml),43 kcal,181 kJ,Succhi di frutta
36,Succo di ribes,100ml,1 bottiglia (1000 ml),48 kcal,202 kJ,Succhi di frutta
