,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Big Mac McDonalds,100g,1 hamburger (219 g),256 kcal,1075 kJ,Fast Food
1,Bratwurst,100g,1 pezzo (85 g),333 kcal,1399 kJ,Fast Food
2,Double Whopper Burger King,100g,1 hamburger (374 g),239 kcal,1004 kJ,Fast Food
3,Whopper Burger King,100g,1 hamburger (291 g),231 kcal,970 kJ,Fast Food
4,Cheeseburger,100g,1 hamburger (156 g),263 kcal,1105 kJ,Fast Food
5,Petto di pollo,100g,1 pezzo (71 g),163 kcal,685 kJ,Fast Food
6,Chicken Nuggets,100g,1 pezzo (20 g),296 kcal,1243 kJ,Fast Food
7,Chickenburger,100g,1 panino (170 g),241 kcal,1012 kJ,Fast Food
8,Ali di pollo,100g,1 pezzo (29 g),324 kcal,1361 kJ,Fast Food
9,Chop Suey,100g,1 porzione (340 g),172 kcal,722 kJ,Fast Food
10,Doppio cheeseburger,100g,1 hamburger (155 g),267 kcal,1121 kJ,Fast Food
11,Toast uova e prosciutto,100g,1 pezzo (80 g),250 kcal,1050 kJ,Fast Food
12,Falafel,100g,1 pezzo (17 g),335 kcal,1407 kJ,Fast Food
13,Filet-o-Fish,100g,1 panino (142 g),282 kcal,1184 kJ,Fast Food
14,Fish & Chips,100g,1 porzione (300 g),195 kcal,819 kJ,Fast Food
15,Hamburger di pesce,100g,1 panino (158 g),273 kcal,1147 kJ,Fast Food
16,Patatine fritte,100g,1 porzione (71 g),254 kcal,1067 kJ,Fast Food
17,Insalata di pollo alla griglia,100g,1 insalata (305 g),88 kcal,370 kJ,Fast Food
18,Panino al prosciutto,100g,1 panino (146 g),241 kcal,1012 kJ,Fast Food
19,Hamburger,100g,1 panino (110 g),254 kcal,1067 kJ,Fast Food
20,Hot Dog,100g,1 hot dog (116 g),269 kcal,1130 kJ,Fast Food
21,Lasagne,100g,1 pezzo (130 g),132 kcal,554 kJ,Fast Food
22,McChicken McDonalds,100g,1 hamburger (143 g),251 kcal,1054 kJ,Fast Food
23,Cheeseburger McDonalds,100g,1 panino (114 g),263 kcal,1105 kJ,Fast Food
24,Chicken Nuggets McDonalds,100g,1 nugget (16 g),297 kcal,1247 kJ,Fast Food
25,Doppio cheeseburger McDonalds,100g,1 hamburger (155 g),282 kcal,1184 kJ,Fast Food
26,Filet-o-Fish McDonalds,100g,1 panino (142 g),275 kcal,1155 kJ,Fast Food
27,Nachos al formaggio,100g,10 nachos (188 g),306 kcal,1285 kJ,Fast Food
28,Anelli di cipolla,100g,1 anello (6.5 g),411 kcal,1726 kJ,Fast Food
29,Salmone affumicato,100g,1/2 filetto (178 g),158 kcal,664 kJ,Fast Food
30,Tonno,100g,1/2 filetto (154 g),86 kcal,361 kJ,Fast Food
31,Tacchino,100g,1 tacchino (3812 g),104 kcal,437 kJ,Fast Food
32,Hamburger vegetariano,100g,1 hamburger (215 g),181 kcal,760 kJ,Fast Food
33,Veggie Delite,100g,1 panino (166 g),138 kcal,580 kJ,Fast Food
34,Veggie Patty,100g,1 panino (247 g),390 kcal,1638 kJ,Fast Food
35,Fajitas di pollo,100g,1 panino (222 g),147 kcal,617 kJ,Fast Food
36,Panino con pollo teriyaki,100g,1 panino (266 g),138 kcal,580 kJ,Fast Food
37,Riccioli fritti,100g,1 porzione (128 g),311 kcal,1306 kJ,Fast Food
38,Panino con polpette di carne,100g,1 panino (299 g),161 kcal,676 kJ,Fast Food
39,Tortilla farcita,100g,1 tortilla (63 g),271 kcal,1138 kJ,Fast Food
40,Egg McMuffin McDonalds,100g,1 hamburger (129 g),225 kcal,945 kJ,Fast Food
41,Pollo alla pizzaiola,100g,1 panino (320 g),141 kcal,592 kJ,Fast Food
42,Italian B.M.T.,100g,1 panino (224 g),183 kcal,769 kJ,Fast Food
43,BBQ Rib,100g,1 costina (67 g),212 kcal,890 kJ,Fast Food
44,McRib McDonalds,100g,1 panino (170 g),265 kcal,1113 kJ,Fast Food
45,Mighty Wings McDonalds,100g,1 ala (31 g),308 kcal,1294 kJ,Fast Food
46,McDouble McDonalds,100g,1 hamburger (160 g),252 kcal,1058 kJ,Fast Food
47,McItaly Marchigiana,100g,1 panino (250 g),280 kcal,1176 kJ,Fast Food
48,McItaly Chianina,100g,1 panino (280 g),305 kcal,1281 kJ,Fast Food
49,NYCrispy Chicken McDonalds,100g,1 hamburger (266 g),260 kcal,1092 kJ,Fast Food
50,Big Tasty McDonalds,100g,1 hamburger (270 g),245 kcal,1029 kJ,Fast Food
51,Big Tasty Bacon McDonalds,100g,1 hamburger (280 g),280 kcal,1176 kJ,Fast Food
52,Crispy McBacon McDonalds,100g,1 hamburger (290 g),309 kcal,1298 kJ,Fast Food
53,Quarter Pounder Deluxe McDonalds,100g,1 hamburger (250 g),230 kcal,966 kJ,Fast Food
54,Quarter Pounder Chicken McDonalds,100g,1 hamburger (260 g),250 kcal,1050 kJ,Fast Food
55,Pizzarotto McDonalds,100g,1 porzione (90 g),211 kcal,886 kJ,Fast Food
56,McToast,100g,1 pezzo (80 g),272 kcal,1142 kJ,Fast Food
57,Toast prosciutto e formaggio,100g,1 pezzo (70 g),260 kcal,1092 kJ,Fast Food
58,Arancini / Supplì,100g,1 porzione (150 g),168 kcal,706 kJ,Fast Food
59,Panzerotti,100g,1 porzione (120 g),240 kcal,1008 kJ,Fast Food
60,Olive ascolane,100g,1 porzione (200 g),336 kcal,1411 kJ,Fast Food
61,Chicken Royale Burger King,100g,1 hamburger (250 g),320 kcal,1344 kJ,Fast Food
62,Crispy Chicken Burger King,100g,1 hamburger (260 g),330 kcal,1386 kJ,Fast Food
