,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Alligatore,100g,1 porzione (184 g),104 kcal,437 kJ,Selvaggina e cacciagione
1,Antilope,100g,1 porzione (340 g),150 kcal,630 kJ,Selvaggina e cacciagione
2,Orso,100g,1 porzione (277 g),259 kcal,1088 kJ,Selvaggina e cacciagione
3,Castoro,100g,1 porzione (313 g),212 kcal,890 kJ,Selvaggina e cacciagione
4,Bisonte,100g,1 porzione (194 g),171 kcal,718 kJ,Selvaggina e cacciagione
5,Bufalo,100g,1 porzione (340 g),131 kcal,550 kJ,Selvaggina e cacciagione
6,Caribù,100g,1 porzione (102 g),159 kcal,668 kJ,Selvaggina e cacciagione
7,Oca,100g,1/2 oca (591 g),238 kcal,1000 kJ,Selvaggina e cacciagione
8,Agnello,100g,1 porzione (193 g),202 kcal,848 kJ,Selvaggina e cacciagione
9,Alce,100g,1 porzione (340 g),134 kcal,563 kJ,Selvaggina e cacciagione
10,Montone,100g,1 porzione (240 g),234 kcal,983 kJ,Selvaggina e cacciagione
11,Struzzo,100g,1 porzione (93 g),175 kcal,735 kJ,Selvaggina e cacciagione
12,Fagiano,100g,1 porzione (169 g),239 kcal,1004 kJ,Selvaggina e cacciagione
13,Coniglio,100g,1 porzione (313 g),197 kcal,827 kJ,Selvaggina e cacciagione
14,Procione,100g,1 porzione (356 g),255 kcal,1071 kJ,Selvaggina e cacciagione
15,Renna,100g,1 porzione (340 g),200 kcal,840 kJ,Selvaggina e cacciagione
16,Scoiattolo,100g,1 porzione (313 g),173 kcal,727 kJ,Selvaggina e cacciagione
17,Cervo,100g,1 porzione (157 g),164 kcal,689 kJ,Selvaggina e cacciagione
18,Cinghiale,100g,1 porzione (340 g),160 kcal,672 kJ,Selvaggina e cacciagione
19,Germano reale,100g,1 porzione (265 g),211 kcal,886 kJ,Selvaggina e cacciagione
20,Lombata di cervo,100g,1 porzione (340 g),158 kcal,664 kJ,Selvaggina e cacciagione
21,Lombata di bisonte,100g,1 porzione (194 g),171 kcal,718 kJ,Selvaggina e cacciagione
22,Lepre,100g,1 porzione (85 g),113 kcal,475 kJ,Selvaggina e cacciagione
23,Capriolo,100g,1 porzione (150 g),112 kcal,470 kJ,Selvaggina e cacciagione
24,Daino,100g,1 porzione (150 g),119 kcal,500 kJ,Selvaggina e cacciagione
25,Quaglia,100g,1 quaglia (75 g),233 kcal,979 kJ,Selvaggina e cacciagione
