Minerali,per porzione,% RDA
Calcio,"11,4 mg","1,1 %"
Rame,"0,2 mg","16,1 %"
Ferro,"1,2 mg","8,2 %"
Magnesio,"8,7 mg","2,9 %"
Manganese,"0,2 mg","11,4 %"
Fosforo,"14,4 mg","2,1 %"
Potassio,"156,9 mg","7,8 %"
Selenio,"< 0,1 mg","0,4 %"
Zinco,"0,1 mg","1,9 %"
