Minerali,per porzione,% RDA
Calcio,"5,1 mg","0,5 %"
Rame,"< 0,1 mg","4,5 %"
Ferro,"1,6 mg","10,6 %"
Magnesio,"10,3 mg","3,4 %"
Manganese,"< 0,1 mg","0,4 %"
Fosforo,"85,5 mg","12,2 %"
Potassio,"130,0 mg","6,5 %"
Selenio,"< 0,1 mg","19,8 %"
Zinco,"2,4 mg","34,7 %"
