Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","12,6 %"
Vitamina B11,"< 0,1 mg","5,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","4,2 %"
Vitamina B3,"1,4 mg","8,8 %"
Vitamina B5,"0,3 mg","4,5 %"
Vitamina B6,"< 0,1 mg","6,4 %"
Vitamina C,"0,4 mg","0,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
