Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","16,3 %"
Vitamina B11,"< 0,1 mg","13,5 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","23,3 %"
Vitamina B3,"3,0 mg","19,0 %"
Vitamina B5,"0,9 mg","15,0 %"
Vitamina B6,"0,7 mg","46,7 %"
Vitamina C,"31,1 mg","38,9 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
