,0,1,2,3
1,Proteine(%): 22.7,,,
2,Lisina:,1608,7.1,
3,Istidina:,559,2.47,
4,Arginina:,1742,7.69,
5,Acido aspartico:,2668,11.78,
6,Treonina:,892,3.94,
7,Serina:,1257,5.55,
8,Acido glutamico:,3875,17.11,
9,Prolina:,938,4.14,
10,Glicina:,942,4.16,
11,Alanina:,987,4.36,
12,Cistina:,215,0.95,
13,Valina:,1178,5.2,
14,Metionina:,193,0.85,
15,Isoleucina:,1040,4.59,
16,Leucina:,1352,7.97,
17,Tirosina:,700,3.09,
18,Fenilalanina:,1198,5.29,
19,Triptofano:,202,0.89,
20,Indice Chimico:,72,,
21,Aminoacido limitante:,Solf.,,
