Minerali,per porzione,% RDA
Calcio,"40,9 mg","4,1 %"
Rame,"< 0,1 mg","7,1 %"
Ferro,"0,7 mg","4,3 %"
Magnesio,"74,4 mg","24,8 %"
Manganese,"< 0,1 mg","1,8 %"
Fosforo,"597,1 mg","85,3 %"
Potassio,"812,8 mg","40,6 %"
Selenio,"< 0,1 mg","290,2 %"
Zinco,"1,1 mg","15,4 %"
