,0,1,2,3
1,Proteine(%): 6.9,,,
2,Lisina:,355,5.14,
3,Istidina:,138,2,
4,Arginina:,428,6.2,
5,Acido aspartico:,606,8.78,
6,Treonina:,251,3.64,
7,Serina:,343,4.97,
8,Acido glutamico:,1440,20.87,
9,Prolina:,463,6.71,
10,Glicina:,214,3.1,
11,Alanina:,257,3.72,
12,Cistina:,121,1.75,
13,Valina:,341,4.94,
14,Metionina:,127,1.84,
15,Isoleucina:,253,3.67,
16,Leucina:,525,7.61,
17,Tirosina:,221,3.2,
18,Fenilalanina:,297,4.3,
19,Triptofano:,106,1.54,
20,Indice Chimico:,89,,
21,Aminoacido limitante:,Lis.,,
