,0,1,2,3,4,5
1,"Categoria merceologica: 2001 - germogli (soia, bambù), asparagi",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",98,02,350,,
6,"Energia, ricalcolata, kJ",205,86,,,
7,"Energia, Ric con fibra, kJ",214,86,,,
8,"Energia, ricalcolata, kcal",49,86,,,
9,"Energia, Ric con fibra, kcal",51,86,,,
10,"Proteine totali, g",6.2,02,350,,
11,"Proteine animali, g",0.0,02,350,,
12,"Proteine vegetali, g",6.2,02,350,,
13,"Lipidi totali, g",1.4,02,350,,
14,"Lipidi animali, g",0.0,02,350,,
15,"Lipidi vegetali, g",1.4,02,350,,
16,"Colesterolo, mg",0,02,350,,
17,"Carboidrati disponibili (MSE), g",3.0,02,350,,
18,"Amido (MSE), g",0.0,02,350,,GD=GS quando amido=0
19,"Carboidrati solubili (MSE), g",3.0,02,350,,
20,"Fibra alimentare totale, g",1.1,21,11452,,"per i nutrienti 21/11452 ALIMENTO SIMILE Soybeans, mature seed, sprouted, raw acqua=69.05g espressa come fibra totale"
21,"Alcol, g",0.0,02,350,,
22,"Acqua, g",86.3,02,350,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",1.0,02,350,,
25,"Calcio, mg",48,02,350,,
26,"Sodio, mg",30,02,350,,
27,"Potassio, mg",218,02,350,,
28,"Fosforo, mg",67,02,350,,
29,"Zinco, mg",1.20,21,11452,,
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",0.23,02,350,,
32,"Vitamina B2, Riboflavina, mg",0.20,02,350,,
33,"Vitamina C, mg",13,02,350,,
34,"Niacina, mg",0.80,02,350,,
35,"Vitamina B6, mg",0.18,21,11452,,
36,"Folati totali, µg",172,21,11452,,
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",24,02,350,,
40,"Retinolo, µg",0,02,350,,
41,"ß-carotene eq., µg",144,02,350,,CALC
42,"Vitamina E (ATE), mg",0.20,I,1013,,"ALIMENTO SIMILE Soia, germogli acqua=69g, lip=6.7g, GD=7g, prot=13.1g"
43,"Vitamina D, µg",0.00,02,350,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",0.20,02,350,,RIPR riferito a Olio di soia lip=100g saturi=14.02g 18:1=22.26g mono=22.76g 18:2=51.36g 18:3=7.6g altri PUFA=0 PUFA=58.96g
46,"Acidi grassi monoinsaturi totali, g",0.32,02,350,,
47,"Acido oleico, g",0.31,02,350,,
48,"Acidi grassi polinsaturi totali, g",0.83,02,350,,
49,"Acido linoleico, g",0.72,02,350,,
50,"Acido linolenico, g",0.11,02,350,,
51,"Altri acidi grassi polinsaturi, g",0.00,86,,,
