Minerali,per porzione,% RDA
Calcio,"75,0 mg","7,5 %"
Rame,"0,4 mg","44,8 %"
Ferro,"6,5 mg","43,2 %"
Magnesio,"65,2 mg","21,7 %"
Manganese,"1,7 mg","84,8 %"
Fosforo,"257,5 mg","36,8 %"
Potassio,"340,7 mg","17,0 %"
Selenio,"< 0,1 mg","173,3 %"
Zinco,"2,0 mg","28,2 %"
