Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (75 g),Cakes,Frozen foods,Biscuits and cakes,Sugary snacks
Grassi,14 g,"10,5 g","-28%19,5 g","+36%10,3 g","-24%18,4 g","-37%22,2 g"
- Acidi Grassi saturi,"5,2 g","3,9 g","-47%9,76 g","-5%5,48 g","-30%7,41 g","-52%10,8 g"
Carboidrati,40 g,30 g,"-22%51,6 g","+41%28,4 g","-38%64,7 g",-32%59 g
- Zuccheri,17 g,"12,8 g","-41%28,8 g","+63%10,4 g","-30%24,4 g","-37%26,8 g"
Proteine,"5,9 g","4,43 g","-13%6,75 g","-23%7,65 g","-16%6,99 g","-17%7,15 g"
Sale,"0,54 g","0,405 g","+26%0,429 g","-34%0,814 g","-9%0,591 g","+13%0,477 g"
Sodio,"0,213 g","0,159 g","+26%0,169 g","-34%0,32 g","-9%0,233 g","+13%0,188 g"
Nutrition score - France,13,13,-32%19,"+36%9,54","-14%15,2","-22%16,7"
Nutri-Score,D,D,E,C,D,D
