,0,1,2,3
1,Proteine(%): 14.7,,,
2,Lisina:,1310,8.91,
3,Istidina:,447,3.04,
4,Arginina:,831,5.65,
5,Acido aspartico:,1263,8.59,
6,Treonina:,642,4.37,
7,Serina:,572,3.89,
8,Acido glutamico:,1945,13.23,
9,Prolina:,557,3.79,
10,Glicina:,854,5.81,
11,Alanina:,917,6.24,
12,Cistina:,149,1.01,
13,Valina:,784,5.33,
14,Metionina:,384,2.61,
15,Isoleucina:,666,4.53,
16,Leucina:,1028,6.99,
17,Tirosina:,447,3.04,
18,Fenilalanina:,548,3.73,
19,Triptofano:,162,1.1,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
