,0,1,2,3
1,Proteine(%): 6.9,,,
2,Lisina:,467,6.77,
3,Istidina:,190,2.75,
4,Arginina:,389,5.64,
5,Acido aspartico:,822,11.91,
6,Treonina:,273,3.96,
7,Serina:,416,6.03,
8,Acido glutamico:,1129,16.36,
9,Prolina:,271,3.93,
10,Glicina:,268,3.88,
11,Alanina:,290,4.2,
12,Cistina:,68,0.99,
13,Valina:,367,5.32,
14,Metionina:,74,1.07,
15,Isoleucina:,369,5.35,
16,Leucina:,563,8.16,
17,Tirosina:,253,3.67,
18,Fenilalanina:,394,5.71,
19,Triptofano:,66,0.96,
20,Indice Chimico:,82,,
21,Aminoacido limitante:,Solf.,,
