Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,6 mg","56,2 %"
Vitamina B11,"0,2 mg","43,6 %"
Vitamina B12,"< 0,1 mg","211,2 %"
Vitamina B2,"0,8 mg","56,0 %"
Vitamina B3,"19,4 mg","121,1 %"
Vitamina B5,"1,3 mg","21,9 %"
Vitamina B6,"1,2 mg","84,0 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
