,0,1,2,3
1,Proteine(%): 11,,,
2,Lisina:,239,2.17,
3,Istidina:,228,2.07,
4,Arginina:,391,3.55,
5,Acido aspartico:,431,3.92,
6,Treonina:,310,2.82,
7,Serina:,543,4.94,
8,Acido glutamico:,4037,36.7,
9,Prolina:,1309,11.9,
10,Glicina:,368,3.35,
11,Alanina:,318,2.89,
12,Cistina:,287,2.61,
13,Valina:,452,4.11,
14,Metionina:,167,1.52,
15,Isoleucina:,403,3.66,
16,Leucina:,741,6.74,
17,Tirosina:,345,3.14,
18,Fenilalanina:,510,4.64,
19,Triptofano:,116,1.05,
20,Indice Chimico:,37,,
21,Aminoacido limitante:,Lis.,,
