Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,0 mg","89,5 %"
Vitamina B11,"0,1 mg","25,9 %"
Vitamina B12,"< 0,1 mg","276,5 %"
Vitamina B2,"2,3 mg","161,7 %"
Vitamina B3,"110,0 mg","687,4 %"
Vitamina B5,"11,0 mg","182,6 %"
Vitamina B6,"8,3 mg","592,5 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
