name,acqua | g,alcol | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0:c10:0 | g,calcio | g,carboidrati complessi | g,carboidrati disponibili | g,category,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,grassi | g,isoleucina | g,leucina | g,lipidi totali | g,lisina | g,metionina | g,monoinsaturi totali | g,niacina | g,parte edibile | %,polinsaturi totali | g,potassio | g,proteine | %,proteine | g,riboflavina | g,saturi totali | g,sodio | g,tiamina | g,treonina | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,zinco | g,zuccheri solubili | g
bovino adulto punta di petto,69.38729210963915,0.0,0.0,0.22123484440754512,0.3217961373200656,1.6693174623478402,0.22123484440754512,1.166510997785238,2.2626290905317115,1.1363426099114815,0.201122585825041,0.0,0.0,0.3419083959025698,0.13072968078627667,0.0,0.2413471029900492,0.13072968078627667,0.0,0.0060336775747512296,0.0,0.0,carni fresche,,3.801216872093275,0.0011061742220377258,0.0,0.0,0.0,0.16894297209303447,10.257251877077092,4.1531813972870975,7.94434214008912,10.257251877077092,8.557766026855496,2.654818132890542,3.328578795404429,0.004726380766888465,100.0,2.2827413491142154,0.2886109106589339,19.7,19.810574703766537,0.00011061742220377258,3.228017502491908,0.05731993696013669,7.039290503876435e-05,3.97217107004456,4.555426568937179,,0.0,0.0038213291306757797,0.0
cola,89.4211737282601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005023661445407872,0.0,10.54968903535653,prodotti vari,0.0,,,0.0,0.0,0.0,0.015070984336223612,0.0,,,0.0,,,0.0,0.0,100.0,0.0,0.0010047322890815744,,0.0,0.0,0.0,0.008037858312652595,0.0,,,0.0,0.0,,10.54968903535653
acciuga,78.00840802154035,0.0,0.0,0.14276048526817844,0.0,1.029914929434716,0.10197177519155602,0.13256330774902286,0.17335201782564524,0.010197177519155602,0.010197177519155602,,0.010197177519155602,,0.2753237930172013,0.0,0.010197177519155602,0.5302532309960913,0.0,0.1509182272835029,0.0,1.5295766278733405,prodotti della pesca,0.06220278286684916,3.6098008417810834,0.0028552097053635692,0.0,0.0,0.0,0.1998646793754498,2.6512661549804566,4.996616984386246,8.076164595171237,2.6512661549804566,8.37188274322675,2.1210129239843654,0.4078871007662241,0.014276048526817844,75.0,0.8667600891282262,0.28348153503252577,16.8,17.131258232181413,0.00026512661549804573,1.3256330774902283,,6.11830651149336e-05,4.4051806882752205,4.609124238658333,3.263096806129793e-05,,0.004282814558045354,1.5295766278733405
prosciuttocrudo parma,51.75646191189802,0.0,0.010228549784960085,0.21479954548416175,0.0,4.019820065489313,0.5421131386028845,1.9945672080672163,7.845297685064383,1.6161108660236936,0.0,0.03068564935488025,0.1943424459142416,0.010228549784960085,0.0,,0.0,0.0,0.0,0.016365679655936133,0.0,0.0,carni trasformate e conservate,0.07364555845171261,,0.0007159984849472059,0.0,0.0,0.0,0.2669651493874582,18.820531604326554,,,18.820531604326554,,,8.591981819366469,0.005625702381728046,100.0,1.6365679655936136,0.3815249069790112,25.5,26.08280195164821,0.0002045709956992017,6.290558117750452,2.6369201345627094,0.0018104533119379352,,,,0.0,0.003303821580542107,0.0
wurstel,59.86134324179157,0.0,0.0,0.3455493497828376,0.0,4.095776116543633,0.5386504570144233,2.388355799969613,9.990441495192039,3.6282681727197934,0.2744068365922533,0.22359075574183607,0.4573447276537556,0.5996297540349239,0.0,0.0,0.0,0.0,0.0,0.014228502638116841,1.3212181021108496,1.422850263811684,carni trasformate e conservate,0.06301194025451744,4.085612900373549,0.0012195859404100149,0.0,0.0,0.0,0.13212181021108496,23.68029367629445,4.471815114836722,7.693554640753177,23.68029367629445,7.236209913099421,2.337539719119195,10.986436679860217,0.002764394798262701,100.0,4.502304763346972,0.1422850263811684,13.7,13.923606153014335,0.0003048964851025037,7.05327202203792,0.8059430422876181,0.00015244824255125186,4.156755413564134,5.43732065099465,,0.0,0.0016261145872133536,0.0
uova albume,88.8112119227397,0.0,0.0,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.007088694224163946,0.0,0.0,uova,0.0,5.924123030194154,0.00010126706034519925,0.0,0.0,0.0,0.015190059051779881,0.0,5.4177877284681575,8.162125063823057,0.0,6.865906691404509,3.9899221776008487,0.0,0.00010126706034519925,100.0,0.0,0.13671053146601894,10.7,10.835575456936317,0.0002734210629320379,0.0,0.18126803801790656,2.0253412069039844e-05,4.729171718120803,6.926666927611627,0.0,0.0,0.000263294356897518,0.0
ghiacciolo arancio,63.673989175421845,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.31407195160777,dolci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.011938872970391595,,36.31407195160777
prosciutto_cotto_sgrassato,76.54733200382205,0.0,0.010247300134380459,0.0512365006719023,0.0,0.8812678115567195,0.1024730013438046,0.44063390577835976,1.4448693189476451,0.19469870255322874,0.010247300134380459,0.010247300134380459,0.020494600268760918,0.0,0.0,0.0,0.0,0.0,0.030741900403141374,0.0071731100940663215,0.0,1.9469870255322876,salumi italiani - aggiornamento 2011,0.0,,0.0005328596069877839,0.0,0.0,0.0,0.1352643617738221,3.586555047033161,,,,,,1.5883315208289714,0.004713758061815012,100.0,0.2254406029563701,0.333037254367365,,17.420410228446784,0.00013321490174694598,1.4448693189476451,0.002151933028219897,0.0007173110094066323,,,0.0,0.0,0.001178439515453753,0.0
mortadella,53.6744732606305,0.0,0.0,0.42077502938544,0.0,5.8497991890170935,0.6157683356860096,3.1814697343777167,12.028008157066724,3.5611935413840894,0.1744676951110361,0.04105122237906732,0.0,0.2257817230848702,0.0,0.0,0.0,0.0,0.0,0.009236525035290145,0.0,1.5394208392150242,carni trasformate e conservate,0.0718396391633678,3.9717057651747623,0.001436792783267356,0.0,0.0,0.0,0.1847305007058029,28.83848372129479,4.977460713461912,8.425763393303567,28.83848372129479,8.302609726166365,2.801745927371344,13.136391161301544,0.0036843472085212924,100.0,4.04354540433813,0.13341647273196874,14.7,15.086324224307234,0.0002668329454639376,9.493095175159317,0.5192979630952015,0.00019499330630056973,4.289852738612534,5.295607686899683,,0.0,0.0008210244475813464,1.5394208392150242
pollo petto,75.15648654162058,0.0,0.0,0.01003424386403479,0.01003424386403479,0.14047941409648707,0.01003424386403479,0.1003424386403479,0.16054790182455664,0.11037668250438268,0.0,0.0,0.0,0.060205463184208725,0.0,0.0,0.0,0.0,0.0,0.004013697545613915,0.0,0.0,carni fresche,0.060205463184208725,4.194313935166542,0.0004013697545613916,0.0,0.0,0.0,0.2107191211447306,0.8027395091227832,4.966950712697222,8.418730601925189,0.8027395091227832,9.673011084929536,2.8697937451139497,0.19065063341666103,0.008328422407148877,98.0,0.2307876088728002,0.3712670229692872,23.3,23.37978820320106,0.0002006848772806958,0.25085609660086977,0.033113004751314803,0.0001003424386403479,4.9970534442893255,5.960340855236666,0.0,0.0,0.0006722943388903309,0.0
maionese,16.403007637983954,0.0,0.0,0.0,0.0,5.664505304317126,0.15309473795451695,0.22964210693177536,15.003284319542662,44.70366348271895,5.664505304317126,0.07654736897725847,0.15309473795451695,0.0,0.0,0.0,0.15309473795451695,0.0,0.0,0.019683609165580748,0.0,2.296421069317754,prodotti vari,0.07654736897725847,,0.0005467669212661318,0.0,0.0,0.0,0.030618947590903382,76.54736897725846,,,76.54736897725846,,,15.462568533406207,,100.0,50.36816878703607,,4.3,4.702195522888733,4.374135370129055e-05,7.578189528748587,,2.187067685064528e-05,,,9.185684277271016e-05,,,2.296421069317754
