name,acqua | g,alcol | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0:c10:0 | g,calcio | g,carboidrati complessi | g,carboidrati disponibili | g,category,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,grassi | g,isoleucina | g,leucina | g,lipidi totali | g,lisina | g,metionina | g,monoinsaturi totali | g,niacina | g,parte edibile | %,polinsaturi totali | g,potassio | g,proteine | %,proteine | g,riboflavina | g,saturi totali | g,sodio | g,tiamina | g,treonina | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,zinco | g,zuccheri solubili | g
trota surgelata cruda,78.71250807007127,0.0,0.0,0.06117552440679114,0.0,0.2854857805650253,0.07137144514125633,0.07137144514125633,0.30587762203395563,0.16313473175144302,0.0,0.0,0.07137144514125633,0.020391841468930375,0.1019592073446519,0.0,0.05097960367232595,0.37724906717521206,0.0,0.015293881101697784,0.0,0.0,prodotti della pesca,0.05709715611300506,,0.0021411433542376907,0.0,0.0,0.0,0.22431025615823416,2.345061768926993,,,2.345061768926993,,,0.4996001159887942,0.003058776220339557,55.0,0.7137144514125632,0.4792082745198639,17.8,18.14873890734804,6.117552440679114e-05,0.4180327501130727,0.0428228670847538,8.156736587572152e-05,,,,,0.0012235104881358225,0.0
cioccolato lattenocciole,1.113265448430407,0.0,0.11132654484304068,0.2833766596004673,0.04048237994292389,7.782737544027118,0.11132654484304068,8.784676447614483,15.919695912554817,1.7103805525885345,0.07084416490011683,0.2833766596004673,0.04048237994292389,,0.0,0.04048237994292389,0.0,0.0,0.0,0.04250649894007009,0.0,49.18609163065252,dolci,0.009108535487157876,,0.0019229130472888847,,,4.8578855931508675,0.16395363876884175,37.344995497347284,,,37.344995497347284,,,16.13222840725517,0.0020241189971461947,100.0,1.781224717488651,,7.2,7.2868283897263,0.00026313546962900534,17.67055884508628,,0.00026313546962900534,,,,0.0,,49.18609163065252
trota,81.33750791777696,0.0,0.0,0.13135249725852186,0.0,0.3536413387729433,0.2526009562663881,0.22228884151442155,0.5254099890340873,0.3738494152742544,0.10104038250655524,0.0,0.0,0.050520191253277634,0.15156057375983284,0.0,0.0,0.5052019125327762,0.0,0.014145653550917734,0.0,0.0,prodotti della pesca,0.05557221037860539,3.768806267494511,0.002020807650131105,0.0,0.0,0.0,0.22228884151442155,3.031211475196657,4.5771293275469525,7.062722737208213,3.031211475196657,9.002698081334072,2.637153983421092,0.7780109453004754,0.003031211475196657,55.0,1.1821724753266962,0.4698377786554819,14.7,14.85293622846362,6.0624229503933145e-05,0.7072826775458866,0.0404161530026221,8.08323060052442e-05,4.415464715536464,5.385452387599393,,,0.0012023805518280072,0.0
olio vinacciolo,0.0,0.0,0.0,0.10008106566318717,0.0,6.305107136780792,0.39031615608643005,2.8322941582681964,16.012970506109948,67.75488145397772,0.2902350904232428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,olii e grassi,0.0,0.0,0.00010008106566318716,0.0,0.0,0.0,0.0,99.980984597524,0.0,0.0,99.980984597524,0.0,0.0,16.403286662196383,0.0,100.0,68.04511654440095,,0.0,0.0,0.0,9.237482360712175,,0.0,0.0,0.0,0.0,0.0,,0.0
bresaola,61.9066186119979,0.0,0.0,0.03095330930599895,0.010317769768666316,0.4333463302839852,0.08254215814933054,0.28889755352265684,0.8151038117246391,0.1238132372239958,0.05158884884333159,0.0,0.020635539537332638,0.04127107907466527,0.10317769768666316,0.0,0.11349546745532947,0.010317769768666316,0.0,0.00722243883806642,0.0,0.0,carni trasformate e conservate,0.06912905745006433,4.343781072608518,0.002476264744479916,0.0,0.0,0.0,0.17333853211359412,2.6826201398532423,5.251744812251156,8.65660883591104,2.6826201398532423,9.564572575553674,3.0850131608312283,1.1143191350159622,0.002476264744479916,100.0,0.4023930209779863,0.5210473733176489,32.0,33.01686325973221,0.0002373087046793253,0.7738327326499737,1.6477478320560106,0.0001238132372239958,4.993800568034497,5.5096890564678125,,0.0,0.003992976900473864,0.0
merluzzo nasello surgelatocottomicroonde,73.24309386505823,0.0,0.0,0.0101444728344956,0.0,0.1217336740139472,0.0101444728344956,0.0304334185034868,0.101444728344956,0.0101444728344956,0.0,0.0,0.0405778913379824,0.0101444728344956,0.050722364172478,0.0,0.0202889456689912,0.2231784023589032,0.0,0.03753454948763371,0.0,0.0,prodotti della pesca,0.06289573157387271,,0.0010144472834495595,0.0,0.0,0.0,0.202889456689912,0.9130025551046038,,,0.9130025551046038,,,0.1623115653519296,0.002252072969258023,75.0,0.3144786578693636,0.3347676035383548,24.8,25.158292629549084,8.11557826759648e-05,0.1623115653519296,0.08318467724286392,6.0866837006973594e-05,,,,0.0,0.002150628240913068,0.0
maiale bistecca saltata padella,54.357926705110295,0.0,,,,,,,,,,,,,,,,,0.0,0.009127263812425237,0.0,0.0,carni fresche,0.09025849770064956,3.9348648435788793,0.0012169685083233649,0.0,0.0,0.0,0.26367651013672905,14.299379972799535,5.243105990026496,8.02185075069818,14.299379972799535,8.63033500485986,2.717896335255515,,0.004766459990933179,75.0,,0.4259389779131776,30.1,30.525626750444406,0.0005070702118014019,,0.08518779558263552,0.0006084842541616822,4.482500672324393,5.790741818772012,,0.0,0.0035494914826098133,0.0
limoni succo,98.0732075497415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014907979432099684,0.0,1.4907979432099685,frutta,0.0,,0.0002129711347442812,0.0,0.0,0.0,0.010648556737214059,0.0,,,0.0,,,0.0,0.0002129711347442812,100.0,0.0,0.14907979432099688,0.2,0.21297113474428125,2.129711347442813e-05,0.0,0.002129711347442812,2.129711347442813e-05,,,0.0,0.04578879397002047,,1.4907979432099685
cervello bovino,75.92869165844024,0.0,,,,,,,,,,,,,,,,,0.0,0.015859778936488822,0.0,0.7929889468244411,frattaglie,0.0,5.065216897841117,0.003568450260709985,0.0,0.0,0.0,0.327107940565082,12.588699530838001,4.92644383214684,8.504806454692131,12.588699530838001,7.642430975020551,2.299667945790879,,0.005947417101183308,100.0,,0.2676337695532489,10.0,9.912361835305513,0.00027754613138855443,,0.13877306569427722,0.00024780904588263784,4.946268555817452,5.531097904100476,,0.017842251303549928,,0.7929889468244411
spigola,80.47659666713818,0.0,0.0,0.030560732911571457,0.0,0.2546727742630954,0.06112146582314292,0.07130837679366674,0.2139251303810002,0.01018691097052382,0.01018691097052382,0.0,0.02037382194104764,0.04074764388209528,0.09168219873471437,0.0,0.01018691097052382,0.2037382194104764,0.0,0.02037382194104764,0.0,0.6112146582314291,prodotti della pesca,0.048897172658514336,,0.004176633497914765,0.0,0.0,0.0,0.20577560160458114,1.5280366455785728,,,1.5280366455785728,,,0.3056073291157145,,54.0,0.4074764388209528,0.3127381667950812,16.5,16.8084031013643,0.00016299057552838112,0.35654188396833364,,0.000112056020675762,,,1.5280366455785722e-05,,0.002139251303810002,0.6112146582314291
suro sugarello,77.04168703730701,0.0,0.0,0.09979493139547543,0.0,0.5488721226751149,0.10977442453502297,0.15967189023276065,0.3991797255819017,0.029938479418642625,0.019958986279095082,0.009979493139547541,0.019958986279095082,0.04989746569773772,0.12973341081411804,0.0,0.019958986279095082,0.3592617530237115,0.0,0.12474366424434424,0.0,0.997949313954754,prodotti della pesca,0.06486670540705902,3.3531096948879737,0.0008981543825592787,0.0,0.0,0.0,0.22354064632586496,2.9938479418642623,4.4009564745404655,7.594394279195678,2.9938479418642623,12.374571493038953,4.889951638378295,0.5788106020937573,,55.0,0.6586465472101377,0.21156525455840788,18.3,18.262472445372,,0.8682159031406359,0.1107723738489777,,4.111551173493587,4.640464309889606,,0.0,0.0014470265052343935,0.997949313954754
avocado,65.95536281200029,0.0,0.0,0.0,0.0,2.555770308965012,0.7729144079531286,0.0,18.106808196981962,1.3706348834368811,0.09274972895437544,0.0,0.0,0.020611050878750096,0.0,0.0,0.0,0.0,0.0,0.013397183071187565,0.0,1.8549945790875089,frutta,0.0,,0.0006183315263625027,,,3.4008233949937656,0.04534431193325021,23.702708510562612,,,23.702708510562612,,,18.89002813037446,0.0011336077983312553,76.0,1.4943011887093818,0.4637486447718772,4.4,4.534431193325021,0.00012366630527250056,2.555770308965012,0.0020611050878750095,9.274972895437542e-05,,,1.4427735615125064e-05,0.018549945790875086,,1.8549945790875089
salmone affumicato,65.83569441537716,0.0,0.0,0.1927393210927837,0.0,0.7709572843711348,0.2434601950645689,0.1623067967097126,0.9332640810808474,0.020288349588714075,0.030432524383071112,0.0,0.3449019430081393,0.020288349588714075,0.33475776821378217,0.0,0.2231718454758548,0.4564878657460666,0.0,0.019273932109278368,0.0,1.2173009753228443,prodotti della pesca,0.05072087397178519,,0.0006086504876614223,0.0,0.0,0.0,0.2536043698589259,4.564878657460667,,,4.564878657460667,,,1.7447980646294103,0.008926873819034193,100.0,1.166580101351059,0.4260553413629955,25.4,25.76620397766687,0.00017245097150406962,1.1260034021736312,1.907104861339123,0.0001623067967097126,,,1.3187427232664146e-05,,,1.2173009753228443
faraona petto,72.24867174906534,0.0,0.0,0.029211053267816176,0.0,0.38948071023754893,0.04868508877969363,0.18500333736283575,0.603695100868201,0.428428781261304,0.0389480710237549,0.0,0.01947403551187745,0.01947403551187745,0.0,0.0,0.0,0.0,0.0,0.009737017755938724,0.19474035511877447,0.19474035511877447,carni fresche,0.031158456819003925,4.332972901392733,0.0007789614204750981,0.0,0.0,0.0,0.16552930185095835,1.8500333736283583,4.926930984504995,8.305676145815733,1.8500333736283583,8.266728074791981,2.784787078198476,0.671854225159772,0.008860686157904241,100.0,0.4868508877969362,0.3310586037019167,25.8,25.121505810321914,0.00014605526633908086,0.603695100868201,0.04868508877969363,0.00013631824858314218,4.060336404226448,4.926930984504995,,0.0,0.00053553597657663,0.0
merendina brioche,10.989511143753312,0.0,0.0,0.0,0.0,2.577186241676661,0.0,0.0,4.395804457501323,1.2837305052879973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022368031531533286,38.22015822561992,63.89476833137987,dolci,0.04570858617313324,5.543381727379988,0.0014587846650999966,,,,,17.1164067371733,4.66811092831999,8.071941813553316,17.1164067371733,2.6258123971799954,1.7505415981199963,4.998768785742656,,100.0,1.4685098962006635,,8.2,7.9746895025466475,,5.446129416373322,,,3.2093262632199933,5.251624794359991,,0.0,0.0006418652526439986,21.881769976499953
asparagi di bosco,90.71118022406885,0.0,,,,,,,,,,,,,,,,,0.0,0.025395067251978955,0.0,4.063210760316633,verdure e ortaggi,0.0,2.651245021106603,0.001117382959087074,,,,0.09142224210712424,0.20316053801583164,2.651245021106603,4.642218293661753,0.20316053801583164,4.642218293661753,1.3510175778052806,,0.0015237040351187374,57.0,,0.20112893263567333,4.6,4.672692374364128,0.000436795156734038,,0.00507901345039579,0.0001320543497102906,2.8950376667256013,3.8194181146976343,0.00015744941696226952,0.023363461871820642,,4.063210760316633
carciofi crudi,88.70806736620831,0.0,,,,,,,,,,,,,,,,,0.0,0.0835585300492214,0.4858054072629152,2.4290270363145754,verdure e ortaggi,0.0,4.139062069880037,0.0009716108145258303,,,5.343859479892066,0.06509792457323063,0.19432216290516605,4.35281644907572,7.053894513457527,0.19432216290516605,2.914832443577491,1.5448611950960702,,0.00048580540726291514,34.0,,0.3653256662617122,2.7,2.6233491992197417,9.716108145258304e-05,,0.1292242383319354,5.829664887154982e-05,4.391680881656752,5.402156128763616,1.7488994661464944e-05,0.011659329774309965,0.0009230302737995386,1.8460605475990768
mortadella_bologna_igp,58.023266450421936,0.0,0.030592231871927212,0.3976990143350537,0.0,5.108902722611844,0.7138187436783014,2.7329060472254976,11.268138739493187,3.120407650936575,0.16315856998361178,0.020394821247951472,0.23454044435144195,0.1121715168637331,0.0,0.0,0.0,0.0,0.020394821247951472,0.008157928499180591,0.0,0.0,salumi italiani - aggiornamento 2011,0.07342135649262531,,0.001050333294269501,0.0,0.0,0.0,0.12134918642531127,25.49352655993934,,,,,,12.29807721251474,0.0042727150514458336,100.0,3.4059351484078966,0.3201986935928381,,16.009934679641905,0.00012236892748770882,8.423061175403959,0.0024473785497541767,0.00024473785497541764,,,0.0,0.0,0.0016009934679641904,0.0
maiale coscia,75.71622260545283,0.0,0.16109834596904854,,0.0,0.604118797383932,,0.3725399250534248,0.5336382710224733,0.8256290230913738,0.11075511285372086,0.0,0.0,0.2416475189535728,0.0302059398691966,0.0,0.0,0.0,0.0,0.012082375947678642,0.0,0.0,carni fresche,0.06443933838761942,3.6851246640419855,0.0016109834596904856,0.0,0.0,0.0,0.2345994663174269,3.221966919380971,5.195421657501815,7.924024892352575,3.221966919380971,8.457663163375049,2.718534588227694,0.5336382710224733,0.00453089098037949,87.0,1.268649474506257,0.3725399250534248,20.2,20.338666178592373,0.0002013729324613107,1.1377570684064051,0.07652171433529806,0.0013592672941138474,4.53089098037949,5.849883688001075,,0.0,0.0024164751895357282,0.0
fagioli scatola,71.07256888864427,0.0,,,,,,,,,,,,,,,,,0.0,0.03064324945129307,13.34464089007924,15.717021492759994,legumi,0.0,5.634403931366791,0.0021746822191240247,4.527292983449105,0.8896427260052828,5.436705547810061,0.10082617561393203,0.4942459588918238,4.695336609472325,7.996899614869706,0.4942459588918238,6.761284717640151,1.0280315944949934,,,100.0,,0.2313071087613735,6.7,6.622895849150439,,,0.2906166238283923,,3.8551184793562254,5.2686619217868405,,0.0,0.0007907935342269179,0.9884919177836476
polpo,85.76266990486984,0.0,0.0,0.04183544873408286,0.0,0.29284814113858004,0.02091772436704143,0.10458862183520716,0.08367089746816572,0.0,0.0,,0.04183544873408286,0.0,0.18825951930337287,0.0,0.06275317310112427,0.2300949680374557,0.0,0.1506076154426983,0.0,1.4642407056929,prodotti della pesca,0.07530380772134915,,0.0015688293275281074,0.0,0.0,0.0,0.1976724952685415,1.0458862183520716,,,1.0458862183520716,,,0.2091772436704143,,90.0,0.4183544873408286,0.2436914888760327,10.6,11.086393914531959,4.1835448734082866e-05,0.43927221170787,,3.1376586550562155e-05,,,2.6147155458801785e-05,0.0,0.005334019713595564,1.4642407056929
tacchino sovracoscio cotto1,75.6872054219562,0.0,0.0,0.08094888280423121,0.0101186103505289,0.9815052040013034,0.17201637595899133,0.8499632694444277,1.1029285282076504,0.9612679833002457,0.060711662103173414,0.0,0.0202372207010578,0.1821349863095202,0.0101186103505289,0.0,0.0,0.05059305175264451,0.0,0.006071166210317341,0.0,0.0,carni fresche,0.0718421334887552,4.108155802314734,0.0010118610350528902,0.0,0.0,0.0,,5.160491278769738,5.2515587719245005,8.09488828042312,5.160491278769738,9.2079354189813,3.2075994811176614,1.325537955919286,,86.0,1.2951821248676991,0.32379553121692484,18.5,18.71942914847847,,1.93265457695102,0.07588957762896678,,5.2515587719245005,5.3325076547287305,,0.0,0.002711787573941746,0.0
pollo fuso,75.34716280711137,0.0,0.0,0.010059701309360665,0.03017910392808198,0.9959104296267056,0.1810746235684919,0.6035820785616397,1.3681193780730505,0.7947164034394925,0.03017910392808198,0.0,0.02011940261872133,0.3822686497557052,0.03017910392808198,0.0,0.0,0.11065671440296727,0.0,0.008047761047488531,0.0,0.0,carni fresche,0.09456119230799023,3.9735820171974616,0.0007041790916552463,0.0,0.0,0.0,,5.734029746335577,5.0600297586084135,8.067880450107253,5.734029746335577,8.842477450928019,2.937432782333313,1.6196119108070668,,67.0,1.5894328068789851,0.2897193977095871,18.4,18.509850409223613,,1.6196119108070668,0.08751940139143778,,4.798477524565035,5.402059603126676,,0.0,0.0017503880278287554,0.0
tacchino fuso,75.45928643193542,0.0,0.0,0.09091480293004267,0.0707115133900332,1.0505710560804933,0.2323378297101091,0.7677250025203604,1.4950434259607015,1.1313842142405313,0.08081315816003794,0.0,0.020203289540009484,0.2626427640201233,0.020203289540009484,0.0,0.0,0.08081315816003794,0.0,0.009091480293004271,0.0,0.0,carni fresche,0.07374200682103461,3.9598447498418583,0.0009091480293004268,0.0,0.0,0.0,,6.060986862002845,5.0508223850023715,7.980299368303746,6.060986862002845,8.980362200534218,3.0001884966914085,1.8283977033708585,,74.0,1.717279610900806,0.2767850666981299,17.9,18.08194413830849,,1.9294141510709053,0.08889447397604172,,4.868992779142286,5.182143767012431,,0.0,0.002798155601291313,0.0
uova oca,70.29367932749622,0.0,0.0,0.050425881870513785,0.0,2.8742752666192857,0.3933218785900076,0.705962346187193,5.395569360144975,0.6857919934389876,0.5546847005756517,0.0,0.0,0.2823849384748772,0.0,0.0,0.0,0.0,0.0,0.05244291714533435,0.0,1.0085176374102758,uova,,,0.002622145857266717,0.0,0.0,0.0,0.2017035274820552,14.522653978707972,,,14.522653978707972,,,5.788891238734983,0.00010085176374102756,87.0,1.5228616324895163,,13.8,13.917543396261804,0.0003025552912230827,3.630663494676993,,0.00010085176374102756,,,0.00033281082034539096,0.0,,1.0085176374102758
salame cacciatore,31.77045102425551,0.0,0.0,0.6021850194139932,0.0,6.977040224934544,1.0382500334724023,3.540432614140892,15.480307999073515,4.329502639579917,0.2180325070292045,0.0,0.3633875117153408,0.3010925097069966,0.0,0.0,0.0,0.0,0.0,0.0446447514393133,0.0,1.2459000401668827,carni trasformate e conservate,0.10278675331376784,4.329502639579917,0.0017650250569030835,0.0,0.0,0.0,,35.30050113806168,4.93168765899391,8.337147768783389,35.30050113806168,8.679770279829283,2.5644775826768336,16.954623046604322,,100.0,5.087425164014771,0.451638764560495,28.5,29.590125953963465,0.00016612000535558435,11.213100361501944,1.5552985501416583,0.00029071000937227267,4.672125150625809,5.554637679077351,,0.0,0.003737700120500649,1.2459000401668827
provolone,39.16196484016504,0.0,0.4920349428636121,2.8517943627197107,0.0,8.254137204773249,0.8033223556956933,2.9622511866278685,6.426578845565548,0.5221595312022006,0.2811628244934927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7229901201261238,0.0,2.008305889239233,formaggi e latticini,0.07330316495723199,4.980598605313298,0.0005020764723098083,0.0,0.0,0.0,0.5231636841468202,28.31711303827318,5.060930840882867,8.74617214763686,28.31711303827318,7.731977673571047,2.9522096571816725,7.2299012012612405,0.0006024917667717697,100.0,0.8033223556956933,0.1395772593021267,28.1,28.216697743811228,0.00022091364781631564,16.759312645701403,0.8635715323728702,2.008305889239233e-05,3.153040246105596,6.436620375011742,0.0003916196484016504,0.0,0.004177276249617605,2.008305889239233
latte pastorizzatopscremato,89.64127633595112,0.0,0.05064478889036788,0.17219228222725078,0.0,0.4558031000133109,0.04051583111229429,0.2127081133395451,0.4355451844571637,0.05064478889036788,0.03038687333422072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12154749333688288,0.0,5.0644788890367884,latte e yogurt,0.007090270444651503,,0.00010128957778073576,0.0,0.0,0.0,0.0952122031138916,1.519343666711036,,,1.519343666711036,,,0.476061015569458,9.116062000266215e-05,100.0,0.08103166222458859,,3.5,3.5451352223257513,0.00017219228222725081,0.9014772422485482,,4.0515831112294296e-05,,,1.924501977833979e-05,0.0010128957778073574,0.0003747714377887223,5.0644788890367884
