name,acido aspartico | g,acido fitico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,amido | g,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,calcio | g,carboidrati disponibili | g,categoria,cistina | g,codice alimento,colesterolo | g,energia | kcal,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,isoleucina | g,istidina | g,leucina | g,lipidi | g,lisina | g,metionina | g,monoinsaturi totali | %,niacina | g,nome scientifico,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine | g,rapporto polinsaturi/saturi,riboflavina | g,saturi totali | %,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,zuccheri solubili | g
"latte di vacca pastorizzato, parzialmente scremato",,0.0,,89.63492097764097,,0.0,0.0,,0.05064119829245253,0.17218007419433862,0.0,0.4557707846320728,0.040512958633962017,0.21269303282830065,0.4355143053150917,0.05064119829245253,0.030384718975471518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12153887590188607,5.064119829245254,Latte e Yogurt,,135020,0.007089767760943355,46.58990242905633,,0.00010128239658490506,0.0,0.0,0.0,0.09520545278981077,,,,,1.5192359487735758,,,0.47,9.115415692641456e-05,,100.0,0.08,,,3.5448838804716765,0.10128239658490508,0.0001721800741943386,0.89,,,4.051295863396203e-05,,,,,1.9243655351131962e-05,0.0010128239658490506,5.064119829245254
ricotta di pecora,0.9052688247848184,0.0,1.7063916785766933,74.20400433247241,0.5147214335612795,0.0,0.0,0.2934112452012741,0.6609263543782967,1.4620492081701713,0.04005614268959374,2.8540001666335537,0.16022457075837496,0.781094782447078,2.193073812255257,0.3204491415167499,0.3504912485339452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16623299216181406,4.205894982407344,Formaggi e latticini,0.19827790631348904,166810,0.04205894982407343,157.22036005665544,0.3735235305804616,0.000300421070171953,0.0,0.0,0.0,0.15321474578769606,0.18225544923765152,0.4846793265440842,0.19226948491004994,1.0224330421518804,11.5161410232582,0.8151425037332327,0.2022835205824484,2.5,,,100.0,0.68,0.09813754958950466,0.6028449474783857,9.513333888778511,0.10014035672398436,,7.36,0.42860072677865296,0.0851193032153867,3.0042107017195305e-05,0.3735235305804616,0.4506316052579296,0.09613474245502496,0.5758070511629101,0.00026036492748235927,0.0,4.205894982407344
bovino adulto o vitellone - lombata - [tessuto muscolare privato del grasso visibile],2.1173838343573808,0.0,3.7211894620833967,72.38148994044379,1.3425114524223392,0.0,0.0,1.3094742578437135,0.0,0.11012398192875268,0.08009016867545649,0.9010143975988854,0.1301465240976168,0.6307100783192198,1.3114765120606,0.4905522831371709,0.1001127108443206,0.0,0.0,0.14015779518204885,0.12013525301318473,0.0,0.12013525301318473,0.060067626506592364,0.004004508433772825,0.0,Carni Fresche,0.23826825180948305,101190,,134.1510325313896,0.8900019994060102,0.0014015779518204885,0.0,0.0,0.0,0.17820062530289066,1.0842206584439922,0.9430617361535002,0.8419478982007362,1.8771133283310115,5.205860963904672,1.9862361831513209,0.626705569885447,1.69,0.0047052974096830685,Bos taurus,100.0,1.03,0.3333753271115876,0.8970098891651126,21.82457096406189,0.6006762650659236,0.00015016906626648087,1.73,0.8930053807313397,0.04404959277150106,0.0001001127108443206,0.7728701277181551,0.8900019994060102,0.24427501446014224,1.054186845190696,5.005635542216031e-08,0.0,0.0
"fagioli -borlotti secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",0.8117624898300085,,1.1149389915061796,69.32570168621241,0.2863882263390541,0.0,13.825638512919856,0.3841552415375588,,,,,,,,,,,,,,,,,0.045427097971022366,16.195747972277537,Legumi,0.06715310134846787,4125,0.0,91.84174155011046,0.3890929695778873,0.002271354898551119,6.20178641865262,0.6024028209200794,6.814064695653357,0.1254182922243444,0.26466222296160863,0.3644043293762447,0.18763366553248373,0.5559881773409914,0.3950182432262816,0.4611837989666838,0.0730783749968621,,0.0002962636824197112,Phaseolus vulgaris,100.0,,0.2784878614745285,0.2676248597858058,6.814064695653357,,2.9626368241971117e-05,,0.4108189729553328,0.001975091216131408,0.00010863001688722744,0.2498490388406231,0.2695999510019372,0.06517801013233646,0.3624292381601133,,0.0,0.987545608065704
salsa tomato ketchup,,,,65.49118082418227,,0.0,1.0106663707435537,,0.0,0.05053331853717768,0.0,0.05053331853717768,0.05053331853717768,0.05053331853717768,0.05053331853717768,0.05053331853717768,0.05053331853717768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02526665926858884,24.25599289784528,Prodotti Vari,,502260,0.0,99.04530433286823,,0.00020213327414871072,,,0.909599733669198,0.0434586539419728,,,,,0.05053331853717768,,,0.05,0.0021223993785614626,,100.0,0.05,5.9639422537577085,,2.1223993785614623,1.0106663707435537,9.09599733669198e-05,0.05,,1.13194633523278,0.0010106663707435534,,,,,0.0002324532652710173,0.0020213327414871068,23.14425989002737
mortadella,1.5454945246485086,0.0,2.3925937133410558,53.63594136636826,0.9660622708818148,0.0,0.0,0.9045296421632278,0.0,0.420472962910344,0.0,5.845599728265759,0.6153262871858692,3.1791858171269918,12.019373476363981,3.5586370275582784,0.1743424480359963,0.04102175247905796,0.0,0.2256196386348188,0.0,0.0,0.0,0.0,0.00922989430778804,1.5383157179646734,Carni Trasformate e Conservate,0.16306146610425534,110200,0.07178806683835143,325.09738839653426,0.5835344290145994,0.0014357613367670286,0.0,0.0,0.0,0.1845978861557608,1.088101984507012,0.731212737939208,0.4758523287570723,1.2378313810555737,28.817781116538214,1.2193715924399977,0.4112430686025561,12.8,0.0036817022849954507,,100.0,3.94,0.13332069555693835,0.8142817867093003,15.075494036053795,0.4102175247905796,0.0002666413911138768,9.25,0.6296839005535395,0.5189251688600831,0.00019485332427552528,0.4789289601930017,0.6296839005535395,0.14972939654856154,0.7773622094781483,5.127719059882244e-08,0.0,1.5383157179646734
"pasta di semola, cotta [bollita in acqua distillata senza aggiunta di sale e scolata]",0.21863208986669613,,1.4899372050174848,62.45185159618126,0.15284002578644035,0.0,26.721699872596197,0.17308373781113445,,,,,,,,,,,,,,,,,0.004048742404938817,30.669223717411537,Cereali e Derivati,0.10830385933211337,805,0.0,138.6694273691545,0.24292454429632898,0.0008097484809877635,1.0425511692717455,0.5162146566296992,1.5182784018520563,0.032389939239510536,0.15284002578644035,0.19636400663953266,0.10121856012347044,0.3704599300519018,0.5060928006173522,0.09615763211729693,0.07895047689630695,,0.0006073113607408224,,100.0,,0.03340212484074525,0.4939465734025357,4.757272325803111,,4.048742404938818e-05,,0.2409001730938597,0.0010121856012347042,2.024371202469409e-05,0.12955975695804214,0.1366450561666851,0.04858490885926581,0.2479854723025026,0.0,0.0,1.3158412816051157
"pollo, sovracoscio con pelle crudo",1.7287347234761197,0.0,2.5648942925234266,67.90018669131146,1.0829777550913915,0.0,0.0,1.2149499280374123,,,,,,,,,,,,,,,,,0.010074211675268759,0.0,Carni Fresche,0.2055139181754828,106600,0.08260853573720385,197.45454883526773,0.6870612362533296,0.0008059369340215009,0.0,0.0,0.0,,0.9137309989468768,0.8764564157483822,0.5016957414283844,1.3852041053494546,14.103896345376265,1.5584805461640772,0.520836743611395,,,Gallus gallus,86.0,,0.2790556634049447,0.7364248734621465,17.529128314967643,,,,0.7938478800111785,0.07152690289440823,,0.5712078019877389,0.8452263595550491,0.20148423350537525,0.8996271026015005,5.03710583763438e-08,0.0,0.0
"marmellate, normali e tipo frutta viva",,0.0,,36.88774413922909,,0.0,0.0,,0.0,0.05123297797115151,0.0,0.05123297797115151,0.05123297797115151,0.05123297797115151,0.05123297797115151,0.05123297797115151,0.05123297797115151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01844387206961455,60.1475161381319,Dolci,,204500,0.0,227.47442219191268,,0.0014345233831922425,,,2.254251030730667,0.007172616915961213,,,,,0.05123297797115151,,,0.05,0.0009221936034807274,,100.0,0.05,0.10246595594230302,,0.5123297797115152,1.0246595594230303,2.0493191188460607e-05,0.05,,0.012295914713076363,2.0493191188460607e-05,,,,,0.0,0.004098638237692121,60.1475161381319
"pollo intero senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",2.6832183527482534,0.0,3.9905565208603817,65.82049527966228,1.667183754863115,0.0,0.0,1.9353039959716931,0.0,0.1209564997482308,0.07055795818646797,0.9777317062981992,0.16127533299764107,0.604782498741154,1.13900703929584,0.7358187068017374,0.0302391249370577,0.0,0.010079708312352569,0.4031883324941027,0.02015941662470513,0.0,0.0,0.10079708312352567,0.010079708312352569,0.0,Carni Fresche,0.35984558675098666,106213,0.10986882060464301,161.27533299764107,1.2004932600011908,0.0011087679143587826,0.0,0.0,0.0,,1.3053222264496571,1.4061193095731832,0.9757157646357284,2.373771307559029,5.443042488670387,2.6045966279119037,0.8890302731494965,1.38,,Gallus gallus,63.0,1.51,0.368917324232104,1.15815848508931,28.12238619146366,0.9071737481117312,,1.72,1.251899772394189,0.0907173748111731,,1.0039389479103158,1.3728562721424198,0.3144868993454001,1.5442113134524134,5.039854156176284e-08,0.0,0.0
cocomero,,0.0,,95.3473141977243,,0.0,0.0,,0.0,0.05002482381832336,0.0,0.05002482381832336,0.05002482381832336,0.05002482381832336,0.05002482381832336,0.05002482381832336,0.05002482381832336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007003475334565271,3.701836962555929,Frutta,,7040,0.0,16.007943621863475,,0.00020009929527329344,0.20009929527329345,0.020009929527329343,0.20009929527329345,0.0020009929527329343,,,,,0.05002482381832336,,,0.05,0.00010004964763664672,Cocos nucifera,52.0,0.05,0.2801390133826108,,0.4001985905465869,1.0004964763664672,2.0009929527329346e-05,0.05,,0.003001489429099401,2.0009929527329346e-05,,,,,3.7018369625559276e-05,0.008003971810931737,3.701836962555929
cocco,,1.371509113258654,,50.58682164120688,,0.0,0.0,,16.08044742936596,5.327020903671293,0.0,3.0312339097383303,0.13913860569290695,0.8050162186518187,2.2262176910865112,0.6062467819476659,0.0,0.3379080423970597,0.0,0.0,0.0,0.0,0.0,0.0,0.012920013385769931,9.34216352509518,Frutta,,7520,0.0,361.7603748015581,,0.001689540211985299,,,,0.09441548243447258,,,,,34.78465142322673,,,2.38,0.0004969235917603818,Cocos nucifera,52.0,0.61,0.25442487898131555,,3.478465142322674,0.0,1.987694367041528e-05,30.93,,0.022858485220977567,4.96923591760382e-05,,,,,0.0,0.0029815415505622922,9.34216352509518
