name,acqua | g,calorie | kcal,fibra alimentare | g,proteine totali | g,proteine animali | g,proteine vegetali | g,glucidi disponibili | g,glucidi solubili | g,amido | g,lipidi totali | g,lipidi animali | g,lipidi vegetali | g,lipidi saturi totali | g,acido oleico | g,monoinsaturi totali | g,acido linoleico | g,acido linolenico | g,altri polinsaturi | g,polinsaturi totali | g,colesterolo | g,alcool | g,ferro | g,calcio | g,sodio | g,potassio | g,fosforo | g,zinco | g,tiamina (vitamina b1) | g,riboflavina | g,niacina (vitamina pp) | g,vitamina c | g,acido folico | g,retinolo (equivalente) | g,retinolo | g,carotene | g,vitamina d | g,vitamina e | g
zucchine [cucurbita pepo],95.45996486583755,11.218585614574923,1.3258328453588548,1.3258328453588548,0.0,1.3258328453588548,1.427819987309536,1.3258328453588548,0.10198714195068116,0.10198714195068116,0.0,0.10198714195068116,0.02039742839013623,0.010198714195068116,0.010198714195068116,0.02039742839013623,0.02039742839013623,0.0,0.04079485678027246,0.0,0.0,0.0005099357097534057,0.02141729980964304,0.0010198714195068113,0.2141729980964304,0.06629164226794274,0.0002039742839013623,8.158971356054491e-05,0.00012238457034081737,0.0007139099936547679,0.0,0.0530333138143542,6.119228517040868e-06,0.0,3.671537110224521e-05,0.0,0.0010810637046772204
"capriolo [cervus spp], schiena",72.57406093457273,122.63206972323923,0.0,22.51605214590622,22.51605214590622,0.0,0.6031085396224879,0.6031085396224879,0.0,3.618651237734928,3.618651237734928,0.0,1.4173050681128467,0.9448700454085645,1.0051808993708131,0.4623832137105741,0.4623832137105741,0.15077713490562197,1.0755435623267704,0.08544037644651914,0.0,0.0030155426981124398,0.02512952248427033,0.08443519554714833,0.3437718675848182,0.22113979786157892,0.003216578877986603,0.00022113979786157891,0.00025129522484270333,0.006433157755973206,0.0,0.0,0.0,0.0,0.0,4.020723597483253e-07,0.0007639374835218183
"agnello, costolette",48.68336956622271,385.8681858842292,0.0,14.595014284740273,14.595014284740273,0.0,0.0,0.0,0.0,36.28760400932,36.28760400932,0.0,17.13414690688002,12.955574323988627,13.395424069556146,0.8497097357554271,0.8497097357554271,0.0,1.6994194715108542,0.07097575439839449,0.0,0.001199590215184132,0.0069976095885741045,0.059979510759206614,0.229921457910292,0.12995560664494768,0.0018993511740415425,8.996926613880992e-05,0.00015994536202455098,0.003898668199348429,0.0,0.0,0.0,0.0,0.0,3.9986340506137744e-07,6.997609588574105e-05
"timo, secco macinato",8.543110507105894,302.2946794822086,20.372032747714066,9.966962258290213,0.0,9.966962258290213,49.61575717588425,49.61575717588425,0.0,8.10500227597226,0.0,8.10500227597226,2.9900886774870634,0.5147771715820219,0.5147771715820219,0.5476352889170446,0.5476352889170446,0.0,1.0952705778340892,0.0,0.0,0.13537544342029342,2.0700613921064286,0.060239881780874915,0.8871691680456123,0.21905411556681784,0.006790677582571354,0.0005585879946953857,0.0004381082311336357,0.005366825831387039,0.0,0.0,0.00041620281957695384,0.0,0.0024972169174617234,0.0,0.010021725787181916
latte di pecora,82.21121878088002,102.39123983592071,0.0,5.268675447867763,5.268675447867763,0.0,5.169266477153279,5.169266477153279,0.0,6.859218979299543,6.859218979299543,0.0,4.51316727043767,1.5308981490030862,1.689952502146264,0.178936147286075,0.178936147286075,0.0,0.35787229457215003,0.012923166192883195,0.0,9.940897071448612e-05,0.178936147286075,0.029822691214345838,0.18092432670036476,0.09543261188590668,0.0006958627950014027,5.9645382428691676e-05,0.00024852242678621535,0.0004970448535724307,0.004970448535724307,0.0,5.268675447867765e-05,5.268675447867765e-05,0.0,2.0875883850042086e-07,0.00012923166192883195
"suino, bistecca",77.09379680859915,104.18080649810696,0.0,19.065087589153574,19.065087589153574,0.0,0.0,0.0,0.0,3.125424194943209,3.125424194943209,0.0,1.4272770490240656,0.8647006939342878,0.9688815004323951,0.5729944357395883,0.5729944357395883,0.0,1.1459888714791766,0.06250848389886418,0.0,0.0015627120974716045,0.008334464519848558,0.07917741293856129,0.3854689840429957,0.2323231984907785,0.0018752545169659254,0.0011668250327787981,0.00018752545169659253,0.0046881362924148145,0.0,0.0010418080649810698,0.0,0.0,0.0,5.209040324905348e-07,5.209040324905349e-05
"finocchio [phoeniculum vulgare], semi",9.235208169095738,362.06213844750334,41.76832785568299,16.58139648542189,0.0,16.58139648542189,13.11819342201099,13.11819342201099,0.0,15.636886559037098,0.0,15.636886559037098,0.503738627405222,10.400103744970313,10.400103744970313,1.773579750655886,1.773579750655886,0.0,3.547159501311772,0.0,0.0,0.012908302327258814,1.259346568513055,0.09235208169095736,1.7420960864430597,0.5352222916180485,0.0038829852529152532,0.0004302767442419605,0.00036730941581630767,0.010809391379737056,0.0,0.0,1.416764889577187e-05,0.0,8.50058933746312e-05,0.0,0.002854518888629592
latte evaporato,71.60334970579363,156.47041686794262,0.0,8.704314580733232,8.704314580733232,0.0,8.807937373361009,8.807937373361009,0.0,9.740542507011,9.740542507011,0.0,6.041208810199375,2.663105770533858,3.150132895884408,0.1968833059927755,0.1968833059927755,0.0,0.393766611985551,0.035231749493444035,0.0,0.00031086837788332967,0.3005060986205521,0.18652102672999785,0.3730420534599957,0.2694192608322191,0.0009326051336499893,7.253595483944359e-05,0.00043521572903666163,0.0002072455852555532,0.001036227926277766,0.011398507189055423,0.00012607785179021577,0.00010880393225916541,0.00010362279262777657,9.326051336499892e-08,0.00019688330599277552
formaggio spalmabile (tipo philadelphia),58.990119561496755,318.3432314266979,0.0,8.746810831532278,8.746810831532278,0.0,0.0,0.0,0.0,31.529201834593085,31.529201834593085,0.0,18.836155418602058,8.289128869417214,10.03849103572367,0.41699912103816655,0.41699912103816655,0.0,0.8339982420763331,0.09153639242301218,0.0,0.00010170710269223576,0.11187781296145934,0.335633438884378,0.15256065403835364,0.1322192334999065,0.0007119497188456503,3.0512130807670727e-05,0.0001729020745768008,0.00010170710269223576,0.0,0.0,0.00029749327537478967,0.0002796945324036483,0.00010679245782684754,1.729020745768008e-07,0.00024409704646136582
grissini,7.862339136541264,400.5168054261609,3.2374337621052267,11.377267221112655,0.0,11.377267221112655,63.82369416721733,2.0349583647518568,61.78873580246547,12.857236940932188,6.01237698676685,6.844859954165338,3.7369235425443192,6.9373580616540576,7.233352005617964,1.4522202875729162,1.4522202875729162,0.11099772898646493,3.0154383041322967,0.0055498864493232465,0.0,0.002127456472240577,0.0120247539735337,0.5642384556811967,0.11099772898646493,0.14984693413172764,0.0006474867524210455,0.00011099772898646491,7.399848599097662e-05,0.000832482967398487,0.0,0.0,0.0,0.0,0.0,0.0,0.0012024753973533704
zucchero (saccarosio),0.4761705223781098,373.3176895444381,0.0,0.0,0.0,0.0,99.51963917702496,99.51963917702496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002857023134268659,0.0009523410447562198,0.0009523410447562198,0.0019046820895124398,0.0,9.523410447562199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
