name,acidi eicosenoico | g,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,acido arachidico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido erucico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | g,altri acidi grassi polinsaturi | g,amido (mse) | g,arginina | g,biotina | g,calcio | g,carboidrati disponibili (mse) | g,carboidrati solubili (mse) | g,cistina | g,cloro | g,colesterolo | g,"energia, ric con fibra | kcal","energia, ricalcolata | kcal",fenilalanina | g,ferro | g,fibra alimentare totale | g,folati totali | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lisina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,niacina | g,parte edibile | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,rame | g,retinolo eq. (re) | g,retinolo | g,saccarosio (mse) | g,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",tirosina | g,treonina | g,triptofano | g,valina | g,"vitamina b1, tiamina | g",vitamina b12 | g,"vitamina b2, riboflavina | g",vitamina b6 | g,vitamina c | g,vitamina d | g,vitamina e (ate) | g,vitamina k | g,zinco | g,zolfo | g,ß-carotene eq. | g
polenta,,0.2971569792147047,0.5751425404155575,0.16295705311774128,,,,,,,,,,0.4888711593532238,0.08627138106233362,,,0.2971569792147047,,,,,53.96754170899314,,0.0,0.0,38.34283602770383,,,0.0028757127020777873,39.109692748257906,0.7668567205540767,,,0.0,178.29418752882282,175.41847482674498,,0.0008627138106233362,1.2461421709003746,4.7928545034629786e-08,0.0479285450346298,,,,,,,,,,0.0,1.341999260969634,1.341999260969634,,,,,,0.0009585709006925957,100.0,0.062307108545018725,,0.0,4.217711963047422,4.217711963047422,,3.259141062354826e-05,0.0,,,,0.0009585709006925957,,,,,,0.00017254276212466722,,4.7928545034629794e-05,4.7928545034629794e-05,0.0,0.0,4.7928545034629794e-05,,0.0004792854503462978,,0.00019267275103921168
pasta sfoglia,,16.350402691748823,4.871991266909662,15.366260455833073,,,,,,,,,,2.796522987206146,0.2143676157440251,,,11.81945081352284,,,,,7.50286655104088,,0.0,0.6625908122997141,43.847921402186955,,,0.08184945328408233,44.724879830230705,0.8769584280437392,,,0.014615973800728987,549.5606149074098,545.6630218938823,,0.0012667177293965125,2.0462363321020582,6.820787773673527e-06,0.06723347948335334,,,,,,,,,,25.9189935399594,39.560569087306455,13.641575547347054,,,,,,0.0009743982533819324,100.0,0.09159343581790164,,0.09743982533819323,5.456630218938821,5.3591903936006275,,0.0001753916856087478,0.00017051969434183815,,,,0.4482231965556889,,,,,,0.00013641575547347057,,1.9487965067638652e-05,6.820787773673528e-05,4.871991266909663e-05,1.714940925952201e-06,0.001900076594094768,,0.0004871991266909662,,4.6771116162332754e-05
olio di semi di arachidi,0.0,52.51183430474195,27.86566683307613,19.38698528501421,2.279645510563816,0.0,0.0,3.249494697075616,0.0,0.0,1.2198103170560772,0.0,0.09998445221771124,27.86566683307613,0.0,0.2699580209878204,0.0,51.29202398768586,9.908459214775183,0.0,4.999222610885563e-05,2.5296066411080944,0.0,0.0,0.0,0.0,0.0,0.0,4.999222610885562e-08,0.0,0.0,0.0,0.0,4.999222610885563e-05,0.0,899.8600699594012,899.8600699594012,0.0,0.0,0.0,4.999222610885562e-08,0.0,0.0,0.0,0.0,0.0,4.999222610885562e-08,0.0,0.0,0.0,0.0,0.0,99.98445221771124,99.98445221771124,0.0,4.999222610885563e-05,0.0,4.999222610885563e-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999222610885562e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999222610885563e-05,0.0,0.0,0.01519763673709211,,4.999222610885563e-05,4.999222610885563e-05,0.0
"castrato, carne semigrassa  ovis aries",0.0,6.740011805130678,0.8500014887776077,8.660015168016567,0.0,0.0,1.416002480128344,0.0,0.0,0.0,0.0,2.3270040757476385,0.02000003503006136,0.4300007531463192,0.4300007531463192,0.8900015588377305,0.0,6.3500111220444815,4.030007058557363,0.22000038533067487,0.0009000015763527611,3.4800060952306766,64.50011297194787,1.0750018828657981,0.0,0.0,0.0,1.1310019809499698,2.0000035030061355e-06,0.009000015763527611,0.0,0.0,0.2180003818276688,0.06800011910220861,0.07700013486573623,227.00039759119642,227.00039759119642,0.6670011682525462,0.001900003327855829,0.0,2.0000035030061355e-06,0.1740003047615338,0.0,0.0,1.0080017655150924,0.0,6.000010509018408e-06,0.8720015273106752,0.4550007969338959,0.0,1.2870022541844484,17.80003117675461,17.80003117675461,0.0,1.3620023855471783,0.021000036781564424,0.0,1.0000017515030678e-05,0.4020007041042333,0.004700008232064418,74.0,0.31000054296595103,0.8380014677595709,16.800029425251534,16.800029425251534,0.0,8.000014012024542e-05,5.000008757515339e-06,5.000008757515339e-06,0.0,2.0000035030061355e-06,0.7110012453186811,0.06900012085371167,0.02000003503006136,0.5490009615751843,0.7880013801844175,0.21300037307015346,0.8400014712625771,0.0001400002452104295,2.0000035030061355e-06,0.0001900003327855829,0.00020000035030061359,0.0,8.000014012024544e-07,0.0001800003152705522,,0.003500006130260737,0.16000028024049084,5.0000087575153386e-08
tapioca   manihot utilissima,,0.04559991797231396,0.027359950783388376,0.04559991797231396,,,,,,,,,,0.018239967188925583,0.009119983594462791,,,0.04559991797231396,,,,,11.491179329023115,,0.0,0.0,87.36944283495353,,,0.01094398031335535,87.36944283495353,0.04559991797231396,,,0.0,331.96740283844565,331.0554044789993,,0.0009119983594462793,0.3647993437785117,4.5599917972313946e-08,0.01094398031335535,,,,,,,,,,0.0,0.18239967188925585,0.18239967188925585,,,,,,0.0,100.0,0.018239967188925583,,0.0,0.5471990156677675,0.5471990156677675,,0.0,0.0,,,,0.003647993437785117,,,,,,0.0,,9.119983594462792e-05,4.559991797231396e-05,0.0,0.0,4.559991797231396e-05,,0.0001094398031335535,,0.0
ricotta di pecora,0.0,2.498329619814188,0.6795456565894592,7.355082400732969,0.0,0.0,0.9033959905248105,0.0,0.0,0.0,0.0,1.7028614688653505,0.6595590196309457,0.31978619133621605,0.34976614677398626,1.4590244979714857,0.039973273917027013,2.188536746957229,2.8480957665881745,0.15989309566810805,0.00020985968806439182,0.7794788413820266,74.05048993129252,0.513656569833797,0.0,0.009993318479256752,0.0,0.2928042314422228,2.498329619814188e-06,0.16588908675566208,4.197193761287837,4.197193761287837,0.1978677058892837,0.08194521152990536,0.05596258348383781,156.89510012433095,156.89510012433095,0.3727507792762768,0.0002997995543777025,0.0,1.1991982175108106e-05,0.15289777273262828,0.0,0.0,0.18187839632247288,0.0,3.997327391702702e-06,0.4836766143960268,0.19187171480172965,4.197193761287837,1.0203178167321143,11.492316251145265,11.492316251145265,0.0,0.8134561242114997,0.014989977718885128,0.0,4.9966592396283756e-05,0.2018650332809864,8.993986631331075e-05,100.0,0.09793452109671616,0.6015977724512565,9.493652555293917,9.493652555293917,0.0,4.9966592396283756e-05,0.000199866369585135,0.0001848763918662499,0.0,3.897394206910133e-06,0.42771403091218896,0.0849432070736824,1.2591581283863509,0.3727507792762768,0.44969933156655373,0.0959358574008648,0.5746158125572632,2.9979955437770257e-05,2.997995543777025e-07,0.0001898730511058783,2.9979955437770257e-05,0.0,1.7987973262662153e-07,0.00020985968806439182,,0.00019986636958513503,0.10992650327182428,9.193853000916213e-05
"lenticchie, secche  lens esculenta",,0.3878918631369739,1.0805559044529989,0.3140076987299313,,,,,,,,,,0.8404323701301102,0.2401235343228886,,,0.3878918631369739,,,,,10.713203839021183,,0.0,0.0,47.65528604254251,,,0.1172911109961802,49.87181097475378,2.2165249322112794,,,0.0,325.0903233909877,300.15441790361075,,0.004710115480948969,12.652663154706053,0.00010159072605968364,0.3204725631155476,,,,,,,,,,0.0,2.3088801377200827,2.3088801377200827,,,,,,0.00166239369915846,100.0,0.9050810139862724,,0.0,23.088801377200827,23.088801377200827,,9.23552055088033e-06,0.0,,,,0.007388416440704266,,,,,,0.0005264246714001789,,0.00018471041101760665,0.0008589034112318709,0.0027706561652640995,0.0,0.0004802470686457773,,0.003047721781790509,,5.541312330528199e-05
"rosmarino, secco",,1.0323722423968729,8.092129899999733,4.108632964690585,,,,,,,,,,1.626768381958709,6.465361518041023,,,0.7925281860824479,,,,,9.698042277061532,,0.0,0.0,0.05214001224226632,,,1.3347843134020174,48.38593136082314,48.38593136082314,,,0.0,381.66488961338933,344.12408079895766,,0.030554047173968056,18.45756433376227,0.0,0.07299601713917284,,,,,,,,,,0.0,15.85056372164896,15.85056372164896,,,,,,0.0010428002448453263,100.0,0.99066023260306,,0.0,5.109721199742099,5.109721199742099,,0.0003263964766365871,0.0,,,,0.05214001224226632,,,,,,0.00010428002448453262,,0.0003336960783505044,0.00039626409304122404,0.0,0.0,0.009541622240334734,,0.003336960783505044,,0.0019604644603092134
pane condito,,1.7704614524240998,0.4171244259637932,0.917673737120345,,,,,,,,,,0.3522384041472031,0.03707772675233717,,,1.6963059989194256,,,,,24.10052238901916,,0.0,0.027808295064252874,51.63073450262953,,,0.1112331802570115,52.74306630519961,1.112331802570115,,,0.006488602181659005,289.20626866822994,275.3021211361035,,0.0012977204363318008,6.766685132301534,1.761192020736015e-05,0.1019637485689272,,,,,,,,,,1.4831090700934868,3.1516067739486586,1.6684977038551727,,,,,,0.0012977204363318008,100.0,0.1019637485689272,,0.04634715844042146,12.328344145152107,12.328344145152107,,0.0,0.0,,,,0.5839741963493105,,,,,,2.780829506425288e-05,,7.415545350467435e-05,0.0001205026119450958,0.0,0.0,0.0005747047646612261,,0.0007415545350467434,,0.0
"succo di barbabietola, fresco",,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,94.07385642789627,,0.0,0.0,0.0,,,0.01404087409371586,2.9084667765554286,2.9084667765554286,,,0.0,18.05255240620611,14.040874093715859,,0.00030087587343676837,1.905547198432867,7.221020962482443e-05,0.015043793671838418,,,,,,,,,,0.0,0.0,0.0,,,,,,0.00014040874093715862,100.0,0.21462478971822813,,0.0,0.8023356624980491,0.8023356624980491,,5.0145978906128064e-08,0.0,,,,0.060175174687353686,,,,,,2.0058391562451232e-05,,1.0029195781225616e-05,1.0029195781225616e-05,0.0050145978906128074,0.0,5.014597890612808e-05,,0.00029084667765554283,,5.0145978906128064e-08
