name,synonyms,category,specific gravity,energy kcal,protein,alcohol,water,"carbohydrates, available",starch,sugars,dietary fibres,"fat, total",cholesterol,"fatty acids, monounsaturated","fatty acids, saturated","fatty acids, polyunsaturated",beta-carotene,vitamin b1,vitamin b2,vitamin b6,vitamin b12,niacin,folate,pantothenic acid,vitamin c,vitamin d,sodium,potassium,chloride,calcium,magnesium,phosphorus,iron,iodide,zinc
"fondue classico, preparato",,Cibi/Altri cibi salati/saporiti,,308.0,20.6,1.8,53.4,1.1,1.0,0.1,0.0,23.1,0.059,5.6,14.4,1.1,0.00011100000000000001,1e-05,0.00017999999999999998,8e-05,2e-06,0.00015,3.8e-06,0.00023999999999999998,0.0004,8e-07,0.12,0.091,0.19,0.73,0.025,0.44,0.0005,1.7e-05,0.0033
"fondue moitié-moitié, preparato",,Cibi/Altri cibi salati/saporiti,,282.0,17.6,1.9,58.1,1.0,1.0,0.0,0.0,21.4,0.064,5.0,12.9,1.0,7e-05,1e-05,0.00021,7.000000000000001e-05,1.2e-06,0.00015,7.699999999999999e-06,0.00033,0.0001,6e-07,0.41,0.096,0.5700000000000001,0.53,0.024,0.37,0.0004,1.6e-05,0.0024
"trota, intera, bollita (senza aggiunta di grassi o sale)",,Pesce/Pesci d’acqua dolce,,159.0,20.0,0.0,69.1,0.0,0.0,0.0,0.0,8.8,,2.8,2.1,3.1,0.0,8e-05,5e-05,0.00047000000000000004,5e-06,,,,,,0.042,0.43,,0.018000000000000002,0.032,0.23,0.002,1.6e-05,0.0005
"trota, cruda",Trota fario,Pesce/Pesci d’acqua dolce,,127.0,16.0,0.0,75.3,0.0,0.0,0.0,0.0,7.0,,2.2,1.7,2.5,0.0,8e-05,5.9999999999999995e-05,0.00054,5e-06,,,,,,0.04,0.46,,0.013999999999999999,0.03,0.22,0.002,1.4000000000000001e-05,0.0004
fotzelschnitte non zuccherato,,Cibi/Altri cibi dolci,,224.0,8.0,0.0,55.9,24.9,23.0,1.7,1.2,10.0,0.129,2.7,5.1,0.9,2e-05,8.999999999999999e-05,0.00016999999999999999,8.999999999999999e-05,1.2e-06,0.0008900000000000002,7.000000000000001e-06,0.0005099999999999999,0.0002,8e-07,0.36,0.12,0.58,0.06,0.013,0.11,0.0009000000000000002,1.1e-05,0.0009000000000000002
vacherin friborghese,,Latte e prodotti di latte/Formaggio a pasta dura,,372.0,24.0,0.0,42.3,0.0,0.0,0.0,0.0,30.4,0.091,7.1,18.2,1.4,,1e-05,0.0003,8.999999999999999e-05,1.9e-06,0.00014,3.3e-05,0.00066,0.0,6e-07,0.6,0.08800000000000001,0.76,0.64,0.025,0.46,0.0001,2.7000000000000002e-05,0.0027
"formaggio fresco, alla doppia panna",,Latte e prodotti di latte/Formaggio fresco e quark,,338.0,7.9,0.0,52.0,4.5,0.0,2.3,0.0,32.1,0.096,7.5,19.2,1.5,0.00015,4e-05,0.00026000000000000003,5.9999999999999995e-05,6e-07,0.00011,2.7000000000000002e-05,0.00044,0.0,0.0,0.5,0.1,0.5700000000000001,0.11,0.008,0.14,0.0002,8e-06,0.0004
"frutta (in media), cotta (senza aggiunta di zucchero)",,Frutta/Frutta cotta (incl. conserve),,64.0,0.6,0.0,82.3,13.1,0.1,13.0,2.9,0.4,0.0,0.0,0.1,0.2,0.000135,2.9999999999999997e-05,2.9999999999999997e-05,5e-05,0.0,0.00037,1.8e-05,0.00017999999999999998,0.0129,0.0,0.0037,0.18,0.0068,0.013999999999999999,0.0089,0.018000000000000002,0.0004,1.4e-06,0.0001
"frutta (in media), secca",,Frutta/Frutta secca,,276.0,2.8,0.0,22.9,58.1,2.1,53.6,10.7,0.9,0.0,0.2,0.2,0.3,0.000798,8e-05,0.00011999999999999999,0.00022999999999999998,0.0,0.0013000000000000002,2e-05,0.0004,0.0056,0.0,0.012,0.8300000000000001,0.07100000000000001,0.064,0.051,0.083,0.0026000000000000003,4.2000000000000004e-06,0.0006
"frutta (in media), cruda",,Frutta/Frutta fresca,,57.0,0.7,0.0,84.3,11.8,0.6,11.3,2.0,0.3,0.0,0.0,0.0,0.1,0.00011100000000000001,4e-05,4e-05,0.00011,0.0,0.00035,2.3e-05,0.00018999999999999998,0.0209,0.0,0.0027,0.19,0.019,0.015,0.011000000000000001,0.016,0.0003,1.2e-06,0.0001
"succo di frutta diluito (in media), senza aggiunta di zuccheri (60% succo, 40% acqua)",Schorle,Bevande analcoliche/Succhi di frutta e di verdura,1.0,31.0,0.2,0.0,91.5,7.2,0.0,7.1,0.0,0.2,0.0,0.0,0.0,0.1,2e-06,2e-05,1e-05,2e-05,0.0,0.00013000000000000002,5e-06,5e-05,0.006500000000000001,0.0,0.0015,0.084,0.0019,0.0094,0.0054,0.008400000000000001,0.0001,9.000000000000001e-07,0.0001
"succo di frutta, senza aggiunta di zucchero (in media)",,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,1.0,52.0,0.3,0.0,85.9,12.0,0.0,11.8,0.0,0.3,0.0,0.0,0.0,0.1,4e-06,4e-05,2e-05,2.9999999999999997e-05,0.0,0.00021,8.3e-06,8e-05,0.0108,0.0,0.0018000000000000004,0.14,0.0025,0.011000000000000001,0.008400000000000001,0.013999999999999999,0.0002,1.5e-06,0.0001
"macedonia di frutta, zuccherata, conserva",,Frutta/Frutta cotta (incl. conserve),,78.0,0.5,0.0,79.5,17.7,0.0,17.7,1.8,0.2,0.0,0.1,0.0,0.1,2.8999999999999997e-05,2e-05,2.9999999999999997e-05,2e-05,0.0,0.00049,8e-06,0.00011999999999999999,0.0026000000000000003,0.0,0.0008,0.08700000000000001,0.0045000000000000005,0.0095,0.006200000000000001,0.012,0.0003,1.9e-06,0.0001
"macedonia di frutta, non zuccherata, conserva",,Frutta/Frutta cotta (incl. conserve),,53.0,0.5,0.0,85.7,11.3,0.0,11.3,2.0,0.2,0.0,0.1,0.0,0.1,3.1e-05,2e-05,2.9999999999999997e-05,2e-05,0.0,0.0005300000000000001,8.599999999999999e-06,0.00013000000000000002,0.0028,0.0,0.0009000000000000002,0.09300000000000001,0.0048,0.01,0.0067,0.013999999999999999,0.0003,2e-06,0.0001
torta di frutta (in media),,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,155.0,2.9,0.0,69.3,16.8,8.9,7.7,3.2,7.7,0.04,1.9,4.3,0.6,0.00014,5e-05,7.000000000000001e-05,5.9999999999999995e-05,2.9e-07,0.0005300000000000001,9.1e-06,0.00022,0.01,2e-07,0.095,0.17,0.15,0.033,0.013,0.048,0.0007,2.9e-06,0.0003
"torta di frutta, pasta sfoglia (in media)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,136.0,2.6,0.0,73.3,14.7,6.9,7.6,2.4,6.9,0.039,1.7,3.8,0.5,0.000184,5e-05,7.000000000000001e-05,5.9999999999999995e-05,3.1e-07,0.00045999999999999996,6.6e-06,0.00022,0.006200000000000001,2e-07,0.094,0.17,0.15,0.032,0.011000000000000001,0.044000000000000004,0.0006,3.1e-06,0.0003
"torta di frutta, pasta per torta (in media)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,128.0,3.0,0.0,72.7,16.9,9.1,7.6,2.6,4.8,0.033,1.2,2.6,0.4,0.000175,5e-05,7.000000000000001e-05,5.9999999999999995e-05,3.1e-07,0.00055,6.7e-06,0.00022999999999999998,0.006200000000000001,2e-07,0.1,0.17,0.16,0.033,0.012,0.047,0.0006,3.2e-06,0.0003
"torta di frutta, cotta nel forno, pasta frolla dolce (in media)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,200.0,3.2,0.0,62.0,18.8,10.7,8.0,4.6,11.4,0.047,2.7,6.4,0.8,6e-05,5e-05,8e-05,7.000000000000001e-05,2.6e-07,0.00059,1.4000000000000001e-05,0.0002,0.0175,3e-07,0.092,0.18,0.14,0.034,0.016,0.052000000000000005,0.001,2.5e-06,0.0004
birra ai cinque cereali,,Bevande alcoliche/Birra,1.0,40.0,0.6,4.1,92.5,2.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,8.999999999999999e-05,1e-07,0.0007700000000000001,5e-06,8.999999999999999e-05,0.0,0.0,0.0014,0.043,0.011000000000000001,0.0036000000000000008,0.011000000000000001,0.016,0.0,0.0,0.0
"gambero, cotto",,Pesce/Frutti di mare e crostacei,,59.0,12.0,0.0,86.1,1.3,0.0,0.0,0.0,0.6,0.158,0.1,0.1,0.2,0.0,0.00011,7.000000000000001e-05,5.9999999999999995e-05,0.0,0.0015,1e-05,0.0,0.0008,0.0,0.17,0.17,0.0,0.032,0.0,0.18,0.0003,8.599999999999999e-05,0.0008
"gambero, crudo",,Pesce/Frutti di mare e crostacei,,56.0,11.4,0.0,85.5,1.2,0.0,0.0,0.0,0.6,0.15,0.1,0.1,0.2,0.0,0.00014,8.999999999999999e-05,8e-05,0.0,0.002,1.4000000000000001e-05,0.0,0.001,0.0,0.19,0.21,0.0,0.03,0.0,0.2,0.0003,9.1e-05,0.0008
"carne di pollame cruda (in media, senza interiora)",,Carne e frattaglie/Pollame,,131.0,21.9,0.0,70.9,0.0,0.0,0.0,0.0,4.8,0.068,2.2,1.5,1.0,0.0,0.0001,0.00016,0.00057,4.3e-07,0.0023,1e-05,0.00086,0.0002,1.1e-06,0.055999999999999994,0.32,0.07400000000000001,0.006500000000000001,0.024,0.2,0.0006,5.400000000000001e-06,0.0009000000000000002
"carne di pollame con pelle (in media), cruda ",,Carne e frattaglie/Pollame,,151.0,20.7,0.0,68.8,0.0,0.0,0.0,0.0,7.6,0.07400000000000001,3.5,2.4,1.5,0.0,8.999999999999999e-05,0.00014,0.00055,4e-07,0.0012,9.6e-06,0.00088,0.0005,1.2e-06,0.053,0.3,0.081,0.006200000000000001,0.022000000000000002,0.19,0.0006,9.199999999999997e-06,0.0008
"carne di pollame senza pelle (in media), cruda ",,Carne e frattaglie/Pollame,,114.0,22.9,0.0,72.7,0.1,0.0,0.0,0.0,2.5,0.063,1.0,0.8,0.6,0.0,0.00011999999999999999,0.00016999999999999999,0.00059,4.5e-07,0.0032,1.1e-05,0.00085,0.0,1e-06,0.057999999999999996,0.33,0.067,0.0067,0.026,0.21,0.0006,2.2e-06,0.001
lioner di pollo,,Prodotti carnei e insaccati/Salsicce scottate,,205.0,13.5,0.0,65.3,0.9,0.0,0.9,0.0,16.4,0.065,7.5,5.1,2.3,,5e-05,0.00011,0.00017999999999999998,9.000000000000001e-07,0.0046,,0.0009000000000000002,0.0363,0.0,0.92,0.21,1.19,0.013,0.017,0.21,0.0005,,0.0011
"carne tritata (media di manzo,vitello, maiale e pollo), alla griglia (senza aggiunta di grassi o sale)",,Carne e frattaglie,,179.0,27.3,0.0,63.3,0.0,,0.0,0.0,7.8,0.078,3.8,3.0,0.8,3e-06,0.00041,0.00017999999999999998,0.00042,9.7e-07,,7.000000000000001e-06,0.00074,0.0,1.1e-06,0.052000000000000005,0.33,0.077,0.005200000000000001,0.022000000000000002,0.2,0.0014,1.9e-06,0.0032
"carne tritata (media di manzo, vitello, maiale e pollo), cruda",,Carne e frattaglie/Vitello;Carne e frattaglie/Manzo;Carne e frattaglie/Maiale;Carne e frattaglie/Pollame,,142.0,21.6,0.0,71.0,0.0,,0.0,0.0,6.2,0.062,3.0,2.4,0.6,3e-06,0.00045999999999999996,0.00015,0.00049,1e-06,,7.299999999999999e-06,0.0007,0.0,1e-06,0.048,0.33,0.061,0.004200000000000001,0.02,0.18,0.0011,1.5e-06,0.0026000000000000003
"verdura (in media), cruda",,Verdure/Verdure fresche,,27.0,1.3,0.0,92.0,3.7,0.2,3.5,2.0,0.3,0.0,0.0,0.0,0.1,0.0016,5.9999999999999995e-05,5e-05,0.00013000000000000002,0.0,0.0005600000000000001,4.5e-05,0.00028000000000000003,0.0304,0.0,0.015,0.23,0.040999999999999995,0.027000000000000003,0.013,0.03,0.0005,2.6e-06,0.0002
"verdura al gratin, cotta nel forno",,Cibi/Torte dolci e salate e gratin,,57.0,3.0,0.0,89.2,2.3,0.7,1.6,1.9,3.6,0.009000000000000001,0.8,2.0,0.3,1.1e-05,8e-05,4e-05,8e-05,8e-08,0.00082,4e-05,0.00029,0.027000000000000003,0.0,0.1,0.3,0.15,0.09,0.022000000000000002,0.07200000000000001,0.0005,4.1e-06,0.0004
"lasagne di verdura, preparata",,Cibi/Cibi italiani,,135.0,4.8,0.0,72.9,11.7,9.0,2.6,1.1,7.4,0.02,1.9,4.1,0.5,0.00015199999999999998,2e-05,5.9999999999999995e-05,5.9999999999999995e-05,1.2e-07,0.00045,6.4e-06,0.0002,0.008199999999999999,1e-07,0.46,0.14,0.76,0.12,0.015,0.095,0.0004,5.7000000000000005e-06,0.0006
fiocchi di orzo,,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,330.0,7.9,0.0,13.0,66.1,63.7,2.4,10.3,1.5,0.0,0.1,0.3,0.7,0.0,0.0002,8e-05,0.00029,0.0,0.0031000000000000003,1.9e-05,0.00049,0.0,0.0,0.003,0.16,0.02,0.016,0.066,0.19,0.002,1e-06,0.0013000000000000002
"fiocchi d'orzo, integrali",,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,330.0,7.9,0.0,13.0,66.1,63.7,2.0,10.3,1.5,0.0,0.1,0.3,0.7,0.0,0.0002,8e-05,0.00029,0.0,0.0031000000000000003,1.9e-05,0.00049,0.0,0.0,0.003,0.16,0.02,0.016,0.066,0.19,0.002,1e-06,0.0013000000000000002
"orzotto, cotto",,"Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,136.0,3.4,0.0,67.8,24.8,23.0,1.7,1.8,2.2,0.0,1.2,0.3,0.3,1e-06,2e-05,2e-05,5e-05,0.0,0.0008100000000000001,6e-06,0.00013000000000000002,0.0004,0.0,0.34,0.053,0.54,0.013,0.023,0.068,0.0009000000000000002,7e-07,0.0007
"spezzatino (media di manzo, vitello, maiale e pollo), alla griglia (senza aggiunta di grassi o sale)",,Carne e frattaglie,,161.0,30.0,0.0,63.6,0.1,0.0,0.0,0.0,4.5,0.081,1.9,1.4,0.5,3e-06,0.00032,0.00017999999999999998,0.0005300000000000001,9.000000000000001e-07,0.0027,4.9000000000000005e-06,0.0009400000000000001,0.0,7e-07,0.062,0.37,0.08199999999999999,0.0086,0.026,0.24,0.0011,1.9e-06,0.003
"spezzatino (media di manzo, vitello, maiale e pollo), crudo",,Carne e frattaglie/Vitello;Carne e frattaglie/Maiale;Carne e frattaglie/Manzo;Carne e frattaglie/Pollame,,118.0,21.9,0.0,73.4,0.1,0.0,0.0,0.0,3.3,0.059,1.4,1.0,0.4,3e-06,0.00033,0.00014,0.00058,8.499999999999998e-07,0.0024,4.7e-06,0.0008300000000000001,0.0,6e-07,0.053,0.34,0.06,0.0064,0.022000000000000002,0.2,0.0008,1.4e-06,0.0023
fiocchi di cereali (in media),,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,344.0,10.2,0.0,11.8,63.9,50.8,1.5,9.0,3.3,0.0,0.8,0.6,1.4,7.000000000000001e-06,0.00033999999999999997,0.0001,0.00037999999999999997,0.0,0.0028,3.1e-05,0.0009400000000000001,0.0,0.0,0.0074,0.23,0.022000000000000002,0.028999999999999998,0.11,0.29,0.004,1.5e-06,0.002
cornetti (in media),,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,406.0,8.0,0.0,23.8,40.4,38.0,2.0,2.7,23.0,0.07100000000000001,5.3,13.4,1.4,5.2000000000000004e-05,8e-05,0.0001,0.00013000000000000002,9e-08,0.0013000000000000002,2.2e-05,0.00029,0.0002,4e-07,0.85,0.13,1.32,0.038,0.021,0.1,0.0012,3.4e-05,0.001
formaggio alle erbe glaronese ,Schabziger,Latte e prodotti di latte/Formaggio fresco e quark,,134.0,32.3,0.0,58.3,0.0,0.0,0.0,0.0,0.5,0.002,0.1,0.3,0.0,1e-06,1e-05,0.00028000000000000003,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.14,0.0,0.86,0.034,0.56,0.0002,0.0,0.0039
gorgonzola,,Latte e prodotti di latte/Formaggio a pasta dura,,359.0,19.4,0.0,42.4,0.1,0.0,0.1,0.0,31.2,0.094,7.4,18.7,1.4,,1e-05,0.00017999999999999998,7.000000000000001e-05,1.2e-06,0.00032,5.2000000000000004e-05,0.0017,0.0,2e-07,1.45,0.14,1.8,0.61,0.02,0.36,0.0003,4e-05,0.0025
"pompelmo, crudo",,Frutta/Frutta fresca,,30.0,0.7,0.0,90.4,5.9,0.0,5.9,1.3,0.1,0.0,0.0,0.0,0.0,1.4000000000000001e-05,4e-05,2e-05,4e-05,0.0,0.0003,1.4000000000000001e-05,0.0003,0.037000000000000005,0.0,0.001,0.14,0.0023,0.019,0.009000000000000001,0.012,0.0002,1.3e-06,0.0001
"formaggio gruyère, grasso",,Latte e prodotti di latte/Formaggio a pasta dura,,399.0,27.0,0.0,36.0,0.0,0.0,0.0,0.0,32.0,0.096,7.5,19.2,1.5,0.0002,2e-05,0.00032,0.00013000000000000002,2e-06,0.0002,1e-05,0.0005,0.0,1.1e-06,0.59,0.09,0.9,0.9,0.035,0.6,0.0004,1.1e-05,0.004200000000000001
"semolino, preparato (con latte parzialmente scremato)",,Dolciumi/Creme e budini,,95.0,4.8,0.0,79.8,12.0,7.3,4.8,0.4,3.0,0.011000000000000001,0.6,1.8,0.2,1.6e-05,2.9999999999999997e-05,0.00015,2.9999999999999997e-05,1.2e-07,0.00032,4.8e-06,0.00033999999999999997,0.0004,1e-07,0.07200000000000001,0.18,0.16,0.13,0.013999999999999999,0.11,0.0001,9.3e-06,0.0007
"semolino, preparato (con latte intero)",,Dolciumi/Creme e budini,,95.0,4.8,0.0,79.8,12.0,7.3,4.8,0.4,3.0,0.011000000000000001,0.6,1.8,0.2,1.6e-05,2.9999999999999997e-05,0.00015,2.9999999999999997e-05,1.2e-07,0.00032,4.8e-06,0.00033999999999999997,0.0004,1e-07,0.07200000000000001,0.18,0.16,0.13,0.013999999999999999,0.11,0.0001,9.3e-06,0.0007
"fetta di semolino, preparato (con latte parzialmente scremato)",,Cibi/Altri cibi salati/saporiti,,146.0,6.3,0.0,71.2,15.4,11.6,3.8,0.7,6.4,0.07200000000000001,1.6,3.4,0.5,2e-05,7.000000000000001e-05,0.00017999999999999998,5e-05,6.800000000000001e-07,0.00044,5.2e-06,0.00045999999999999996,0.0003,5e-07,0.1,0.17,0.17,0.11,0.016,0.12,0.0004,1.2e-05,0.001
"fetta di semolino, preparato (con latte intero)",,Cibi/Altri cibi salati/saporiti,,156.0,6.3,0.0,70.1,15.4,11.6,3.8,0.7,7.5,0.067,2.0,4.1,0.5,2.3e-05,4e-05,0.00017999999999999998,5e-05,2.5e-07,0.00047999999999999996,1.1e-05,0.00054,0.0006,3e-07,0.1,0.17,0.19,0.11,0.016,0.12,0.0004,9.7e-06,0.001
grittibänz (pane dolce),,Dolciumi/Altre pasticcerie dolci,,330.0,9.2,0.0,28.7,46.9,43.5,2.8,2.2,11.2,0.044000000000000004,2.6,6.4,0.9,4e-05,7.000000000000001e-05,0.00013000000000000002,0.00014,2.5e-07,0.0018000000000000004,2.2e-05,0.00033,0.0002,3e-07,0.5700000000000001,0.16,0.89,0.055,0.019,0.11,0.0011,5e-06,0.0009000000000000002
ciambellone a la nonna,,"Dolciumi/Dolci, torte e cake",,459.0,8.3,0.0,23.8,32.7,5.2,27.1,3.1,32.1,0.118,14.0,13.2,2.3,6e-05,0.00011,0.00017999999999999998,0.00013000000000000002,1.1e-06,0.0005200000000000001,9.8e-06,0.00049,0.0003,7e-07,0.14,0.33,0.17,0.05,0.054000000000000006,0.13,0.0022,8.400000000000001e-06,0.0012
zuppa gulasch,,Cibi/Brodi e zuppe,1.1,67.0,4.8,0.0,85.3,6.3,4.1,1.4,0.4,2.4,0.006999999999999999,1.0,1.0,0.2,0.000177,2e-05,5.9999999999999995e-05,8e-05,2e-07,0.0011,3e-06,0.00014,0.0019,0.0,0.23,0.22,0.35000000000000003,0.01,0.013,0.035,0.0005,5e-07,0.0006
caramella gommosa all'aroma di frutta,,Dolciumi/Caramelle e gomme da masticare,,341.0,6.6,0.0,12.1,78.6,3.9,74.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.012,0.16,0.009000000000000001,0.002,0.004,0.0002,0.0,0.0014
"cetriolini, sott'aceto",,Verdure/Verdure cotte (incl. conserve),,14.0,0.7,0.0,93.0,2.1,0.2,1.9,1.0,0.1,0.0,0.0,0.0,0.0,7.999999999999999e-05,2e-05,2e-05,2e-05,0.0,0.0002,7.000000000000001e-06,0.0,0.005,0.0,0.7000000000000001,0.1,0.0,0.013999999999999999,0.011000000000000001,0.02,0.001,0.0,0.0003
"cetriolo, crudo",,Verdure/Verdure fresche,,13.0,0.7,0.0,96.0,2.0,0.1,1.9,0.8,0.1,0.0,0.0,0.0,0.0,0.00022200000000000003,2e-05,2e-05,4e-05,0.0,0.0002,1.3000000000000001e-05,0.0003,0.005,0.0,0.0009000000000000002,0.14,0.037000000000000005,0.015,0.01,0.018000000000000002,0.0002,2.9e-06,0.0001
"polpettone, cotto al forno",,Cibi/Altri cibi salati/saporiti,,197.0,17.1,0.0,63.6,8.2,7.2,0.9,0.6,10.5,0.076,5.5,3.1,1.1,2.6000000000000002e-05,0.00014,0.00011999999999999999,0.00014,1.1e-06,0.00066,9.1e-06,0.00035,0.0016,3e-07,0.89,0.16,1.6,0.013999999999999999,0.016,0.12,0.0014,4.8e-06,0.0027
"hamburger (manzo), cotto in olio di colza holl",,Carne e frattaglie/Manzo,,204.0,20.4,0.0,61.9,6.4,4.8,1.5,0.7,10.6,0.098,5.6,3.2,1.1,6.8e-05,8e-05,0.00016,0.00027,1.9e-06,0.00016999999999999999,1.2e-05,0.0003900000000000001,0.0026000000000000003,6e-07,0.3,0.27,0.41,0.023,0.017,0.16,0.0022,6.7e-06,0.0039
"pappa d'avena, preparata (con latte parzialmente scremato)",,Dolciumi/Creme e budini,,133.0,6.4,0.0,71.0,18.3,12.7,5.6,0.7,3.6,0.013,0.7,2.1,0.2,2e-05,4e-05,0.00017999999999999998,4e-05,1.3e-07,0.0005099999999999999,6.7e-06,0.00042,0.0004,1e-07,0.085,0.22,0.19,0.15,0.019,0.14,0.0002,1.1e-05,0.0011
"pappa d'avena, preparata (con latte intero)",,Dolciumi/Creme e budini,,150.0,6.4,0.0,69.4,16.0,0.0,5.7,1.9,6.3,0.019,1.8,3.2,0.8,2.4e-05,7.000000000000001e-05,0.0002,5e-05,1.3e-07,0.00027,9.8e-06,0.0007099999999999999,0.0008,1e-07,0.08900000000000001,0.26,0.17,0.15,0.034,0.18,0.0007,1.2e-05,0.001
fiocchi di avena,,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,372.0,13.5,0.0,8.7,57.5,,1.0,10.5,7.5,,3.0,1.0,3.0,1e-06,0.00041,0.00013000000000000002,0.00011,0.0,0.0008,4.7e-05,0.0009000000000000002,0.0,0.0,0.02,0.4,,0.053,0.12,0.41,0.0038,5e-07,0.003
crusca d'avena,,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",,366.0,17.3,0.0,6.6,50.8,0.0,0.0,15.4,7.0,0.0,2.4,1.3,2.8,0.0,0.00085,0.00022,0.00036,0.0,0.00093,5.2000000000000004e-05,0.0012,0.0,0.0,0.004,0.5700000000000001,0.0,0.057999999999999996,0.24,0.73,0.0054,0.0,0.0031000000000000003
burro semigrasso,,Grassi e oli/Grassi;Latte e prodotti di latte/Panna e burro,0.9,388.0,4.0,0.0,51.9,3.5,0.0,3.5,0.0,39.8,0.14,12.0,24.1,1.5,0.00024,2e-05,1e-05,2e-05,5e-07,0.00097,1e-05,0.00035,0.0,1.4e-06,0.12,0.16,0.12,0.12,0.013999999999999999,0.09,0.0,3.5000000000000004e-06,0.0004
"panna semigrassa, pastorizzata",,Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,1.0,274.0,2.3,0.0,65.8,3.3,0.0,3.3,0.0,27.9,0.08199999999999999,6.5,16.7,1.3,0.000129,2e-05,0.00014,2.9999999999999997e-05,4e-07,0.0001,6.799999999999998e-06,0.00036,0.001,5e-07,0.035,0.13,0.07,0.078,0.006999999999999999,0.064,0.0,1.1e-05,0.0002
"panna semigrassa, uht",,Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,1.0,251.0,2.6,0.0,67.8,3.7,0.0,3.7,0.0,25.1,0.07100000000000001,5.9,15.1,1.2,0.000129,2e-05,0.00014,2e-05,4e-07,8e-05,6.799999999999998e-06,0.00028000000000000003,0.0,9.000000000000001e-07,0.034,0.14,0.07,0.091,0.0086,0.07400000000000001,0.0,1.1e-05,0.0003
pane semi-bianco,,"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,240.0,9.4,0.0,39.4,46.4,45.7,0.4,3.7,1.1,0.0,0.1,0.1,0.5,0.0,0.00011999999999999999,7.000000000000001e-05,0.00016,0.0,0.0021000000000000003,2.1e-05,0.00029,0.0,0.0,0.68,0.11,1.06,0.016,0.021,0.099,0.0012,1.1e-06,0.001
"formaggio a pasta dura e semi dura, grasso (in media)",,Latte e prodotti di latte/Formaggio a pasta dura,,400.0,27.2,0.0,36.4,0.0,0.0,0.0,0.0,32.1,0.092,7.6,19.5,1.5,0.00016299999999999998,2e-05,0.00032,0.00011999999999999999,2.3e-06,0.00017999999999999998,1.3000000000000001e-05,0.00045,0.0,1e-06,0.46,0.08600000000000001,0.71,0.91,0.032,0.59,0.0004,1.5e-05,0.004200000000000001
caramella dura,,Dolciumi/Caramelle e gomme da masticare,,385.0,0.5,0.0,4.1,95.0,0.0,95.0,0.0,0.3,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.009000000000000001,0.073,0.004,0.003,0.012,0.0001,0.0,0.0
"semola di grano duro, secca",,"Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",,351.0,12.6,0.0,11.0,70.4,70.4,0.0,4.0,1.2,0.0,0.1,0.2,0.5,9e-06,0.00011999999999999999,7.000000000000001e-05,8.999999999999999e-05,0.0,0.0027,2.3e-05,0.00037,0.0,0.0,0.003,0.19,0.08700000000000001,0.02,0.04,0.14,0.0011,5.1e-06,0.0033
"lepre (media), cruda",,Carne e frattaglie/Altre specie animali,,115.0,22.0,0.0,74.0,0.0,0.0,0.0,0.0,3.0,0.065,0.5,1.0,0.8,0.0,8.999999999999999e-05,5.9999999999999995e-05,0.0003,1e-06,0.0081,5e-06,0.0008,0.0,0.0,0.044000000000000004,0.28,0.04,0.013999999999999999,0.024,0.21,0.0028,6e-07,0.0022
nocciole,,"Noci, semi e frutti oleosi",,643.0,15.2,0.0,4.0,6.9,1.4,4.3,9.7,59.5,0.0,46.6,4.2,6.5,0.0,0.00027,5e-05,0.0005,0.0,0.0013000000000000002,4.1e-05,0.0012,0.002,0.0,0.0009000000000000002,0.72,0.011000000000000001,0.16,0.16,0.32,0.0036000000000000008,6.5000000000000004e-06,0.0029
crema da spalmare alle nocciole e cioccolato,,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,1.3,546.0,5.8,0.0,1.2,55.6,0.6,54.8,2.9,32.7,0.001,15.5,12.0,3.6,1e-06,7.000000000000001e-05,0.0002,0.0001,3.2e-07,0.00037999999999999997,1.1e-05,0.00049,0.0011,0.0,0.045,0.32,0.084,0.13,0.051,0.16,0.0012,7.000000000000001e-06,0.001
