name,synonyms,category,specific gravity,energy kcal,protein,alcohol,water,"carbohydrates, available",starch,sugars,dietary fibres,"fat, total",cholesterol,"fatty acids, monounsaturated","fatty acids, saturated","fatty acids, polyunsaturated",beta-carotene,vitamin b1,vitamin b2,vitamin b6,vitamin b12,niacin,folate,pantothenic acid,vitamin c,vitamin d,sodium,potassium,chloride,calcium,magnesium,phosphorus,iron,iodide,zinc
"torta di albicocca, cotta nel forno (pasta per torta)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,128.0,3.0,0.0,72.9,17.6,9.1,8.4,1.8,4.7,0.033,1.2,2.6,0.4,0.00121,5e-05,7.000000000000001e-05,8e-05,3.1e-07,0.0007099999999999999,4e-06,0.00032,0.0038,2e-07,0.1,0.23,0.15,0.027000000000000003,0.011000000000000001,0.047,0.0006,2.9e-06,0.0003
"melanzane, stufate (senza aggiunta di grassi o sale)",,Verdure/Verdure cotte (incl. conserve),,28.0,1.2,0.0,90.9,3.9,0.4,3.5,3.0,0.2,0.0,0.0,0.0,0.1,5.6000000000000006e-05,4e-05,4e-05,8.999999999999999e-05,0.0,0.0007099999999999999,1.2e-05,0.00022999999999999998,0.0021000000000000003,0.0,0.0038,0.32,0.069,0.012,0.016,0.026,0.0004,2e-07,0.0001
"melanzana, cruda",,Verdure/Verdure fresche,,23.0,1.0,0.0,92.7,3.1,0.3,2.8,2.4,0.2,0.0,0.0,0.0,0.1,5e-05,4e-05,2.9999999999999997e-05,8e-05,0.0,0.0006,1.9e-05,0.0002,0.002,0.0,0.003,0.26,0.055,0.01,0.013,0.021,0.0003,2e-07,0.0001
"piccata di melanzane, preparata",,Cibi/Altri cibi salati/saporiti,,169.0,5.3,0.0,70.0,9.1,6.2,2.9,2.3,11.8,0.09,4.8,4.5,1.1,3.5e-05,7.000000000000001e-05,0.00011999999999999999,0.0001,1.1e-06,0.0006,7.699999999999999e-06,0.0003900000000000001,0.001,6e-07,0.26,0.23,0.4,0.07400000000000001,0.015,0.096,0.0007,7.9e-06,0.0006
"fette di melanzana, impanate, preparate",,Cibi/Altri cibi salati/saporiti,,139.0,4.8,0.0,69.7,15.2,12.0,3.0,3.0,5.9,0.061,3.6,0.7,1.0,4e-05,8e-05,8.999999999999999e-05,0.0001,7.799999999999998e-07,0.0006900000000000001,1.1e-05,0.00037999999999999997,0.0012,4e-07,0.29,0.24,0.45,0.022000000000000002,0.016,0.063,0.0007,4.9000000000000005e-06,0.0005
affettato (in media),,Prodotti carnei e insaccati/Salsicce scottate,,289.0,14.1,0.0,56.5,0.7,0.0,0.7,0.0,25.5,0.057999999999999996,12.0,9.7,2.4,0.0,0.00027,0.00013000000000000002,0.00015,9.5e-07,0.0029,1.1e-06,0.00042,0.0266,5e-07,0.79,0.12,1.11,0.008,0.012,0.16,0.0008,6e-07,0.0015
"avocado, crudo",,"Verdure/Verdure fresche;Noci, semi e frutti oleosi",,144.0,1.8,0.0,76.4,0.8,0.0,0.8,3.0,14.2,0.0,8.9,2.9,1.8,6.7e-05,7.000000000000001e-05,0.00016,0.00028000000000000003,0.0,0.002,5.4000000000000005e-05,0.0008,0.011000000000000001,0.0,0.006999999999999999,0.52,0.006,0.016,0.033,0.044000000000000004,0.001,1e-06,0.0006
"lievito per pane, pressato",,Diversi/Lievito;Diversi/Ingredienti per prodotti da forno,,96.0,16.7,0.0,72.0,1.1,1.0,0.0,6.9,1.2,0.0,0.4,0.2,0.6,0.0,0.0008300000000000001,0.0014,0.00063,0.0,0.0098,0.0006399999999999999,0.0023,0.0,0.0,0.022000000000000002,0.5700000000000001,0.1,0.016,0.042,0.36,0.0029,6e-07,0.0024
"bami goreng, preparato",,Cibi/Cibi asiatici,,137.0,14.0,0.0,68.5,14.0,12.1,1.5,0.9,2.6,0.044000000000000004,1.3,0.4,0.5,0.000124,8.999999999999999e-05,8e-05,0.00015,6e-08,0.0008900000000000002,4.4e-06,0.00031,0.0128,3e-07,0.4,0.18,0.55,0.0092,0.016,0.11,0.0007,1.6e-06,0.0007
chips di banana secca ,,Frutta/Frutta secca,,370.0,3.9,0.0,3.0,80.7,15.4,65.3,7.6,1.8,0.0,0.2,0.7,0.3,0.00035,0.00017999999999999998,0.00023999999999999998,0.0,0.0,0.0028,0.0,0.0,0.006999999999999999,0.0,0.003,1.49,0.0,0.022000000000000002,0.11,0.07400000000000001,0.0012,0.0,0.0
