name,10:0 | g,12:0 | g,14:0 | g,16:0 | g,16:1 indifferenziato | g,18:0 | g,18:1 indifferenziato | g,18:2 indifferenziato | g,18:3 indifferenziato | g,18:4 | g,20:0 | g,20:1 | g,20:4 indifferenziato | g,20:5 n-3 | g,22:1 indifferenziato | g,22:5 n-3 | g,22:6 n-3 | g,4:0 | g,6:0 | g,8:0 | g,"acidi grassi, monoinsaturi | g","acidi grassi, polinsaturi | g","acidi grassi, saturi | g",acido ascorbico (vitamina c) | g,acido aspartico | g,acido folico (vitamina b9 o m o folacina) | g,acido glutammico | g,acido pantotenico (vitamina b5) | g,acqua | g,alanina | g,alcol etilico | g,alpha-tocoferolo (vitamina e) | g,arginina | g,betaina | g,caffeina | g,calcio | g,calorie | kcal,carboidrati | g,"carotene, alfa | g","carotene, beta | g",category,ceneri | g,cistina | g,cobalamina (vitamina b12) | g,colesterolo | g,colina totale (vitamina j) | g,"criptoxantina, beta | g",destrosio | g,fenilalanina | g,ferro | g,fibre | g,fillochinone (vitamina k) | g,"folati, totali | g",folato alimentare | g,fosforo | g,fruttosio | g,glicina | g,grassi | g,isoleucina | g,istidina | g,leucina | g,licopene | g,lisina | g,luteina + zeaxantina | g,magnesio | g,manganese | g,metionina | g,niacina (vitamina b3) | g,piridossina (vitamina b6) | g,potassio | g,prolina | g,proteine | g,rame | g,retinolo (vitamina a) | g,riboflavina (vitamina b2) | g,selenio | g,serina | g,sodio | g,teobromina | g,tiamina (vitamina b1) | g,tirosina | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,treonina | g,triptofano | g,valina | g,"vitamina b-12, aggiunta | g",vitamina d (d2+d3) | g,vitamina d3 | g,"vitamina e, aggiunta | g",zinco | g,zuccheri | g
pasta sfoglia,0.0,0.0,0.03826677424196077,3.940496547582421,0.07653354848392152,1.4109646502548612,8.510923071147888,19.27075502851563,2.539343890722934,0.0,,0.07358995046530915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.662027769436657,21.810098919238566,5.398558766135082,0.0,0.2943598018612366,4.513516961872295e-05,2.5579866781741467,0.0,7.260875112577171,0.2227322500750024,0.0,0.0005396596367456005,0.25413062894020105,,0.0,0.009811993395374556,547.5092314619002,44.840809816861714,0.0,0.0,prodotti da forno,0.9811993395374556,0.16386028970275504,0.0,0.0,0.006083435905132225,0.0,,0.3601001576102463,0.002551118282797385,1.4717990093061832,1.5993549234460525e-05,5.396596367456004e-05,8.8307940558371e-06,0.058871960372247324,,0.2502058315820511,37.77617457219204,0.2698298183728003,0.15502949564691798,0.5043364605222521,0.0,0.1412927048933936,3.826677424196076e-05,0.015699189432599292,0.0004856936730710405,0.12853711347940666,0.0037285574902423306,1.864278745121165e-05,0.060834359051322236,0.8585494220952736,7.260875112577171,0.00011283792404680739,0.0,0.0002531494296006636,2.403938381866766e-05,0.353231762233484,0.24824343290297626,0.0,0.00031692738667059804,0.20016466526564086,,,,0.1942774692284162,0.08438314320022118,0.3061341939356861,0.0,0.0,,0.0,0.000529847643350226,0.7358995046530916
"croissant, al burro",0.4453272006320042,0.4986888477665581,1.7900407084227619,4.873373701033894,0.4162208476495202,2.19170837958104,4.678361136051251,0.7713183540358244,0.2803912003979286,0.0009702117660827977,,0.0009702117660827977,0.005821270596496787,0.002910635298248393,0.0,0.0,0.001940423532165596,0.5772760008192647,0.3405443298950621,0.19889341204697356,5.360420007607458,1.061411672094581,11.31169898075934,0.0001940423532165596,0.4860760948074817,5.821270596496786e-05,2.2314870619904346,0.0008353523305972889,22.508912973120907,0.3153188239769093,0.0,0.0008149778835095503,0.3289017887020685,,0.0,0.035897835345063515,393.905977029616,44.43569888659214,0.0,3.686804711114631e-05,prodotti da forno,1.5523388257324766,0.16687642376624126,1.5523388257324765e-07,0.06500418832754745,0.037644216524012564,9.702117660827978e-07,,0.40360809469044384,0.0019695298851480788,2.5225505918152744,1.746381178949036e-06,8.53786354152862e-05,2.7165929450318334e-05,0.10187223543869377,,0.2794209886318458,20.374447087738755,0.3541272946202212,0.1814296002574832,0.604441930269583,0.0,0.3191996710412405,7.179567069012704e-05,0.015523388257324763,0.0003201698828073233,0.1697870590644896,0.0021228233441891622,5.627228243280228e-05,0.11448498839777015,0.7548247540124168,7.955736481878942,7.761694128662384e-05,0.0001959827767487252,0.0002338210356259543,2.202380709007951e-05,0.42689317707643104,0.3366634828307309,0.0,0.00037644216524012556,0.26292738860843823,,,,0.2755401415675145,0.09605096484219698,0.3977868240939471,0.0,0.0,,0.0,0.0007276588245620982,10.924584486092305
"lombo di maiale, magro, brasato",0.007878146834994526,0.00689337848062021,0.08961392024806272,1.5618426100376648,0.1703649253067566,0.8478855531162857,2.756366623893709,0.8705352252668951,0.03643642911184969,0.0,0.011817220252491791,0.04628411265559283,0.0866596151849398,0.0,0.0,0.008862915189368844,0.0,0.0,0.0,0.0009847683543743157,2.9740004302104337,1.0399153822192773,2.5505500378294776,0.0,2.5810778568150816,0.0,4.214808556722072,0.0009532557670343377,59.401227135858726,1.5805532087707763,0.0,0.00020680135441860633,1.77750687964564,0.003249735569435241,0.0,0.04825364936434147,218.6185746710981,0.0,0.0,0.0,maiale,1.1620266581616925,0.31118679998228377,6.007086961683326e-07,0.08567484683056548,0.08469007847619116,0.0,,1.1462703644917034,0.0008370531012181682,0.0,0.0,0.0,0.0,0.22058811137984669,,1.2467167366378835,11.118034720886023,1.3067876062547168,1.1226359239867196,2.270875825187172,0.0,2.454042739100794,0.0,0.019695367087486308,1.1817220252491788e-05,0.7563020961594745,0.007488178566662297,0.0005071557025027727,0.26588745568106525,1.1157425455060996,27.59320928956833,9.552253037430862e-05,1.969536708748632e-06,0.00032694309365227284,4.3625238098782176e-05,1.1521789746179492,0.0689337848062021,0.0,0.0004992775556677781,1.0930928733554903,,,,1.2132346125891569,0.32792786200664714,1.3954167581484052,0.0,8.862915189368841e-07,8.862915189368841e-07,0.0,0.0032300402023477557,0.0
muffin inglese preparati con farina di frumento,0.0,0.0009468432629086149,0.0018936865258172297,0.2404981887787882,0.035033200727618764,0.02272423830980676,0.2300829128867934,0.7432719613832627,0.04544847661961352,0.0,,0.0,0.0009468432629086149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651161136144122,0.7896672812657849,0.2717440164547725,0.0,0.4317605278863285,2.367108157271537e-05,2.473154602717302,0.00042039840873142506,40.051470021034405,0.3039366873936654,0.0,0.0004260794683088768,0.3399167313841928,,0.0,0.16853810079773346,211.1460476286211,42.418578178305935,0.0,1.8936865258172298e-06,prodotti da forno,2.177739504689814,0.1713786305864593,0.0,0.0,0.012971752701848024,0.0,,0.3900994243183493,0.002717440164547725,4.355479009379628,7.574746103268919e-07,6.059796882615135e-05,3.692688725343598e-05,0.1013122291312218,,0.3096177469711171,1.8936865258172295,0.3228735526518377,0.18274074974136267,0.5643185846935345,0.0,0.25564768098532603,8.710958018759257e-05,0.03503320072761875,0.0009477901061715234,0.13729227312174913,0.0031776059903213124,8.23753638730495e-05,0.17611284690100235,0.816178892627226,8.23753638730495,0.000140132802910475,0.0,0.0002764782327693156,2.7647823276931557e-05,0.3872588945296235,0.3616941264310909,0.0,0.000408089446313613,0.2414450320416968,,,,0.2518603079336916,0.10604644544576487,0.3702157157972685,0.0,0.0,,0.0,0.0010131222913122178,1.4770754901374392
caviale,0.0,0.0,0.2045865192138795,3.4306843198365167,1.0065270733022469,0.2827540100455975,3.0543223269430597,0.0781674908317181,0.016405522767150713,0.03184601478329256,,0.2981945020617394,0.487340529259477,2.6451492885153005,0.11001350561501066,0.22099204198103026,3.6671168538336887,0.0,0.0,0.0,4.469057407922057,7.146052711220649,3.9180248490959935,0.0,2.301598341156144,0.0,3.505956718415208,0.003377607628531029,45.83896067292111,1.5951958314176549,0.0,0.001823908119406756,1.5343988941040962,,0.0,0.265383456527438,254.76811826634048,3.8601230040354615,0.0,0.0,pesci,6.272699881557625,0.4332988072029806,1.9300615020177308e-05,0.5674380815932129,0.4737335956702521,0.0,,1.0335479343304947,0.011464565321985323,0.0,5.790184506053193e-07,4.825153755044327e-05,4.825153755044327e-05,0.3435509473591561,,0.7141227557465604,17.274050443058687,0.9988068272941756,0.6263049574047538,2.05841059190191,0.0,1.7698663973502595,0.0006253399266537448,0.2895092253026597,4.825153755044328e-05,0.623409865151727,0.00011580369012106384,0.00030880984032283703,0.17467056593260466,1.1580369012106386,23.73975647481809,0.00010615338261097521,0.00026152333352340247,0.0005983190656254966,6.320951419108068e-05,1.8306633346638181,1.4475461265132985,0.0,0.00018335584269168445,0.9341497669765818,,,,1.218833838524197,0.3117049325758635,1.218833838524197,0.0,2.798589177925709e-06,2.798589177925709e-06,0.0,0.0009167792134584222,0.0
ricotta di pecora,0.2276682877271113,0.15708117668508115,1.3560678797370296,4.033407176021357,0.5289062404839441,1.2735505527442337,2.8552983508832472,0.2714124128799187,0.11134868220714614,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5706619963116238,0.09245917361843384,0.11830797484509276,3.6059077711189187,0.3827610950870648,8.24676177596676,0.0,0.9892137392509855,0.0,2.4317756846310665,0.00021176133312609041,71.2830403058248,0.4960981466193386,0.0,0.00010936031288201852,0.6283247067403246,,0.0,0.2057962251507076,172.98813128610203,3.0223213741939663,0.0,3.280809386460555e-05,latticini e uova,1.0140683558150807,0.09842428159381666,3.380227852716936e-07,0.05070341779075405,0.017398231594866583,0.0,,0.5527666723854754,0.0003777901717742458,0.0,1.093603128820185e-06,1.1930215950765656e-05,1.1930215950765656e-05,0.15708117668508115,,0.2932844754563224,12.904516920078185,0.5855747662500809,0.4563307601167864,1.2138994729904056,0.0,1.3302190785103707,0.0,0.01093603128820185,5.965107975382828e-06,0.2793658901804291,0.00010339520490663568,4.2749940490243606e-05,0.10438938956919948,1.0598008502930156,11.194519300468441,2.08778779138399e-05,0.00011631960551996516,0.00019386600919994192,1.4415677607175169e-05,0.5716561809741876,0.0835115116553596,0.0,1.292440061332946e-05,0.5855747662500809,,,,0.513993470545487,0.1242730828204756,0.6879757864941529,0.0,1.988369325127609e-07,1.988369325127609e-07,0.0,0.0011532542085740136,0.2684298588922273
"riso e cereali, per l'infanzia",0.0,0.0,0.012664534391617677,0.7472075291054431,0.026303263736436718,0.12274856410337134,1.1972855974844714,1.7525767208092464,0.20945191493829235,0.0,,0.0019483899064027198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2274856410337134,1.9639770256539413,0.8952851619920497,0.002338067887683264,0.6780396874281465,0.0,1.2576856845829554,,6.527106186449112,0.414032855110578,0.0,0.0048709747660068,0.6293299397680784,,0.0,0.8280657102211559,380.91022670173174,75.69494786374567,0.0,0.0,cibi per bambini,3.507101831524896,0.1646389470910298,0.0,0.0,0.01753550915762448,0.0,,0.35460696296529504,0.046274260277064584,0.4870974766006799,0.0,2.3380678876832638e-05,2.3380678876832638e-05,0.5747750223888023,,0.3565553528716977,4.773555270686662,0.2825165364283944,0.18801962596786245,0.5445749788395601,0.0,0.2961552657732134,0.0,0.2006841603594801,,0.1802260663422516,0.030436772922870087,0.0004666393825834514,0.3750650569825236,0.3078456052116297,6.916784167729656,0.0003224585295096501,0.0,0.0021636869910602206,1.1300661457135772e-05,0.3331746739948651,0.005845169719208159,0.0,0.002576745651217597,0.3156391648372406,,,,0.3078456052116297,0.09157432560092782,0.4344909491278065,0.0,0.0,,0.0,0.0019289060073386926,0.11690339438416315
"cereali, kellogg's corn flakes",0.0,0.0,0.0,0.14887444370086625,0.0,0.017400909003997357,0.09570499952198544,0.2619803522268491,0.017400909003997357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09570499952198544,0.2793812612308464,0.1662753527048636,0.02126777767155232,0.33835100841105964,0.00043115585643237886,1.3244025186375763,7.637065618421061e-05,3.634856547501669,0.4930257551132584,0.0,0.00012567323169553646,0.0966717166888742,0.0006767020168221194,0.0,0.0038668686675549678,348.98489724683577,84.21073240767831,1.8367626170886093e-05,0.00015660818103597617,cereali per colazione,1.865764132095272,0.11600606002664902,9.154811570436387e-06,0.0,0.003770196950866093,4.833585834443708e-05,4.0408777575949415,0.3190166650732848,0.028034797839773515,2.4167929172218545,0.0,0.0004640242401065961,3.2868383674217225e-05,0.03576853517488345,1.3147353469686889,0.16434191837108614,0.5703631284643577,0.2126777767155232,0.14500757503331127,0.8893797935376426,0.0,0.06767020168221194,0.0003277171195752835,0.00870045450199868,0.00015854161536975363,0.11600606002664902,0.023587898872085303,0.003325507054097272,0.07637065618421061,0.6090318151399073,6.3900004731345845,0.00010440545402398411,0.00042535555343104636,0.0025521333205862787,8.023752485176559e-06,0.2900151500666225,0.6989365116605604,0.0,0.00205910756547302,0.06767020168221194,,,,0.1933434333777484,0.03866868667554968,0.2610136350599603,9.154811570436387e-06,3.4801818007994706e-06,,0.0,0.0001740090900399735,10.150530252331787
muesli con nocciole e frutta secca,0.0009224194125858841,0.007379355300687073,0.02306048531464711,0.4971840633837917,0.014758710601374146,0.1937080766430357,2.1639959419264847,1.1456449104316682,0.056267584167738936,0.0,,0.0018448388251717683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009224194125858841,2.1953582019544045,1.212981527550438,0.7425476271316369,0.0,,0.0002066219484192381,,0.004243129297895068,5.3500325929981285,,0.0,0.006641419770618368,,,0.0,0.0,313.6226002792007,71.76423029918179,0.0,0.0,cereali per colazione,1.6603549426545918,,3.3668308559384773e-06,0.0,0.020846678724440987,0.0,,,0.008071169860126489,6.733661711876955,2.675016296499064e-06,0.00022414791725836988,1.75259688391318e-05,0.22414791725836988,,,4.519855121670833,,,,0.0,,0.0,0.07194871418169897,0.0020081070611994703,,0.011207395862918496,0.001125351683354779,0.44829583451673977,,8.94746830208308,0.00035974357090849495,0.00015127678366408503,0.0009500919949634609,1.5957855837735794e-05,,0.2130788843073393,0.0,0.0008394016654531547,,,,,,,,3.3668308559384773e-06,0.0,,0.006641419770618368,0.003366830855938478,28.59500179016241
"cervello di vitello, crudo",,,,,,,1.3043233863653834,0.019913334142982957,,,,,,,,,,,,,1.6328933997246018,0.94588337179169,1.9017234106548717,0.013939333900088068,0.8722040354626531,0.0,1.2286527166220478,0.002708213443445681,79.43428989635899,0.5286990214961974,,,0.5635473562464175,,,0.009956667071491477,117.48867144359942,0.0,,,"agnello, vitello, cacciagione",1.3541067217228409,0.10753200437210793,1.21471338272196e-05,1.5831100643671447,,,,0.5406470219819871,0.0021207700862276844,0.0,,2.9870001214474425e-06,2.9870001214474425e-06,0.2728126777588664,,0.4510370183385639,8.174423665694503,0.418180017002642,0.2568820104444801,0.7935463655978705,,0.6372266925754545,,0.013939333900088068,3.6839668164518455e-05,0.2260163425228565,0.004281366840741334,0.00027878667800176134,0.3136350127519815,0.4241540172455369,10.275280417779204,0.00021904667557281248,0.0,0.00025887334385877843,9.956667071491477e-06,0.5277033547890483,0.12644967180794175,,0.00012943667192938922,0.3982666828596591,,,,0.5087856873532144,0.1025536708363622,0.4888723532102315,,,,,0.0011051900449355538,
