name,calorie | kcal,category
patate al gratin,132.0,Prodotti a base di patate
insalata di patate,143.0,Prodotti a base di patate
fecola,331.0,Prodotti a base di patate
patata dolce,92.0,Prodotti a base di patate
patate bianche,94.0,Prodotti a base di patate
patate gialle yukon gold,82.0,Prodotti a base di patate
patata al forno,93.0,Prodotti a base di patate
patate a bastoncini,522.0,Prodotti a base di patate
patate a spicchi,123.0,Prodotti a base di patate
patate al rosmarino,93.0,Prodotti a base di patate
rösti,138.0,Prodotti a base di patate
ravioli al vapore,124.0,Prodotti a base di patate
ravioli,124.0,Prodotti a base di patate
gnocchi di patate,124.0,Prodotti a base di patate
gnocchi al midollo,424.0,Prodotti a base di patate
patatine fritte,312.0,Prodotti a base di patate
crocchetta di patate,185.0,Prodotti a base di patate
patate gialle,78.0,Prodotti a base di patate
patate rosse,89.0,Prodotti a base di patate
patate al selenio,85.0,Prodotti a base di patate
agar agar,26.0,Ingredienti per torte e focacce
sciroppo d'agave,310.0,Ingredienti per torte e focacce
estratto di mandorle,258.0,Ingredienti per torte e focacce
mandorle,529.0,Ingredienti per torte e focacce
lievito per dolci / lievito chimico,53.0,Ingredienti per torte e focacce
siero di latte / latticello,62.0,Ingredienti per torte e focacce
zucchero di canna,387.0,Ingredienti per torte e focacce
scaglie di cioccolato,467.0,Ingredienti per torte e focacce
codette di cioccolato / granella di cioccolato,500.0,Ingredienti per torte e focacce
cacao in polvere,228.0,Ingredienti per torte e focacce
latte di cocco,50.0,Ingredienti per torte e focacce
sciroppo di mais,281.0,Ingredienti per torte e focacce
amido di mais,381.0,Ingredienti per torte e focacce
cioccolato di copertura / couverture,600.0,Ingredienti per torte e focacce
formaggio cremoso,54.0,Ingredienti per torte e focacce
zenzero cristallizzato,335.0,Ingredienti per torte e focacce
rum scuro,216.0,Ingredienti per torte e focacce
albicocche secche / albicocche essiccate,241.0,Ingredienti per torte e focacce
cranberry essiccati / mirtilli rossi essiccati,308.0,Ingredienti per torte e focacce
fichi secchi,249.0,Ingredienti per torte e focacce
prugne secche / prugne essiccate,107.0,Ingredienti per torte e focacce
uovo,97.0,Ingredienti per torte e focacce
liquore allo zabaione,88.0,Ingredienti per torte e focacce
albume,13.0,Ingredienti per torte e focacce
tuorlo,322.0,Ingredienti per torte e focacce
latte evaporato,134.0,Ingredienti per torte e focacce
farina,364.0,Ingredienti per torte e focacce
fruttosio,368.0,Ingredienti per torte e focacce
gelatina,335.0,Ingredienti per torte e focacce
glucosio / destrosio,286.0,Ingredienti per torte e focacce
sciroppo di glucosio,387.0,Ingredienti per torte e focacce
zucchero semolato,387.0,Ingredienti per torte e focacce
nocciole,628.0,Ingredienti per torte e focacce
zucchero grezzo,395.0,Ingredienti per torte e focacce
rum,246.0,Ingredienti per torte e focacce
farina di malto,361.0,Ingredienti per torte e focacce
latte maltato,405.0,Ingredienti per torte e focacce
maltitolo,210.0,Ingredienti per torte e focacce
maltodestrina,375.0,Ingredienti per torte e focacce
maltosio,344.0,Ingredienti per torte e focacce
sciroppo d'acero,270.0,Ingredienti per torte e focacce
melassa,290.0,Ingredienti per torte e focacce
estratto di menta piperita,0.0,Ingredienti per torte e focacce
semi di papavero,525.0,Ingredienti per torte e focacce
latte in polvere,496.0,Ingredienti per torte e focacce
zucchero al velo,389.0,Ingredienti per torte e focacce
uva sultanina / uvetta,474.0,Ingredienti per torte e focacce
latte di riso,49.0,Ingredienti per torte e focacce
cristalli di zucchero / zucchero in cristalli,625.0,Ingredienti per torte e focacce
fiocchi di avena,384.0,Ingredienti per torte e focacce
farina di semola,350.0,Ingredienti per torte e focacce
semi di sesamo,573.0,Ingredienti per torte e focacce
scaglie di cocco,501.0,Ingredienti per torte e focacce
sorbitolo,375.0,Ingredienti per torte e focacce
latte di soia,41.0,Ingredienti per torte e focacce
amido,381.0,Ingredienti per torte e focacce
conserva di fragole / salsa di fragole,278.0,Ingredienti per torte e focacce
saccarosio,387.0,Ingredienti per torte e focacce
zucchero,21.0,Ingredienti per torte e focacce
semi di girasole,117.0,Ingredienti per torte e focacce
dolcificante,360.0,Ingredienti per torte e focacce
burro non salato,717.0,Ingredienti per torte e focacce
vanillina / estratto di vaniglia,288.0,Ingredienti per torte e focacce
zucchero vanigliato,357.0,Ingredienti per torte e focacce
olio vegetale,884.0,Ingredienti per torte e focacce
margarina / grasso vegetale,884.0,Ingredienti per torte e focacce
noci,131.0,Ingredienti per torte e focacce
latte intero,61.0,Ingredienti per torte e focacce
xilitolo,240.0,Ingredienti per torte e focacce
lievito (secco) / lievito (in polvere),325.0,Ingredienti per torte e focacce
croccante,592.0,Ingredienti per torte e focacce
buccia di arancia candita,97.0,Ingredienti per torte e focacce
farina di mais,361.0,Ingredienti per torte e focacce
uovo d'anitra,185.0,Ingredienti per torte e focacce
palline arcobaleno,475.0,Ingredienti per torte e focacce
latte condensato zuccherato,321.0,Ingredienti per torte e focacce
cannella in polvere,247.0,Ingredienti per torte e focacce
panna da montare,345.0,Ingredienti per torte e focacce
proteine in polvere,411.0,Ingredienti per torte e focacce
codette / granella,500.0,Ingredienti per torte e focacce
farina di grano integrale,340.0,Ingredienti per torte e focacce
fiocchi di cocco,456.0,Ingredienti per torte e focacce
cremor tartaro / cremore di tartaro,258.0,Ingredienti per torte e focacce
burro di cacao,903.0,Ingredienti per torte e focacce
bicarbonato di sodio,0.0,Ingredienti per torte e focacce
pectina,150.0,Ingredienti per torte e focacce
coca cola,42.0,Bevande gassate e bibite
coca cola zero,0.0,Bevande gassate e bibite
coca cola light,1.0,Bevande gassate e bibite
pepsi light,0.0,Bevande gassate e bibite
fanta,39.0,Bevande gassate e bibite
fanta zero,0.0,Bevande gassate e bibite
tè freddo,27.0,Bevande gassate e bibite
limonata / gassosa / spuma,42.0,Bevande gassate e bibite
minute maid,46.0,Bevande gassate e bibite
pepsi,44.0,Bevande gassate e bibite
powerade,120.0,Bevande gassate e bibite
sprite,37.0,Bevande gassate e bibite
sprite zero,0.0,Bevande gassate e bibite
acqua tonica,35.0,Bevande gassate e bibite
ginger ale,35.0,Bevande gassate e bibite
bibita gassata,53.0,Bevande gassate e bibite
aranciata,48.0,Bevande gassate e bibite
minute maid light,2.0,Bevande gassate e bibite
aranciata amara,34.0,Bevande gassate e bibite
ginger ale schweppes,38.0,Bevande gassate e bibite
crodino,58.0,Bevande gassate e bibite
cedrata,139.0,Bevande gassate e bibite
chinotto,46.0,Bevande gassate e bibite
sanbittèr / san pellegrino bitter,66.0,Bevande gassate e bibite
manzo,171.0,Manzo e vitello
punta di petto di manzo,137.0,Manzo e vitello
filetto di manzo,189.0,Manzo e vitello
gulasch di manzo,123.0,Manzo e vitello
collo di manzo,213.0,Manzo e vitello
pancreas di manzo,271.0,Manzo e vitello
hamburger di manzo,247.0,Manzo e vitello
costolette di manzo,196.0,Manzo e vitello
sego bovino,902.0,Manzo e vitello
animelle bovine,319.0,Manzo e vitello
trippa di manzo,94.0,Manzo e vitello
bistecca di spalla,137.0,Manzo e vitello
filetto,207.0,Manzo e vitello
macinato di manzo,241.0,Manzo e vitello
macinato di vitello,143.0,Manzo e vitello
roast beef,187.0,Manzo e vitello
bistecca di fesa,171.0,Manzo e vitello
stufato di manzo,191.0,Manzo e vitello
vitello,282.0,Manzo e vitello
petto di vitello,282.0,Manzo e vitello
coscia di vitello,211.0,Manzo e vitello
stinco di vitello,177.0,Manzo e vitello
spalla di vitello,183.0,Manzo e vitello
lombata di manzo,182.0,Manzo e vitello
roast beef di vitello,175.0,Manzo e vitello
lombata di vitello,204.0,Manzo e vitello
grasso di rognone di manzo,854.0,Manzo e vitello
spalla arrosto,141.0,Manzo e vitello
bavette,194.0,Manzo e vitello
bistecca di reale,205.0,Manzo e vitello
filetto di manzo,189.0,Manzo e vitello
costata di manzo,217.0,Manzo e vitello
lombata,117.0,Manzo e vitello
bistecca alla fiorentina,221.0,Manzo e vitello
costata di manzo,217.0,Manzo e vitello
macinato di spalla,250.0,Manzo e vitello
estratto di mandorle,374.0,Erbe e spezie
anice,337.0,Erbe e spezie
semi d'anice,337.0,Erbe e spezie
rucola,25.0,Erbe e spezie
aceto balsamico,88.0,Erbe e spezie
basilico,233.0,Erbe e spezie
pepe nero,251.0,Erbe e spezie
semi di sesamo nero,573.0,Erbe e spezie
brodo,100.0,Erbe e spezie
capperi,23.0,Erbe e spezie
cumino dei prati / comino / carvi,333.0,Erbe e spezie
manioca / tapioca / cassava,160.0,Erbe e spezie
peperoncino di cayenna,318.0,Erbe e spezie
bietola,19.0,Erbe e spezie
radici di cicoria,72.0,Erbe e spezie
peperoncino,282.0,Erbe e spezie
peperoncino in polvere,282.0,Erbe e spezie
erba cipollina,30.0,Erbe e spezie
aceto di mele,21.0,Erbe e spezie
cannella,247.0,Erbe e spezie
chiodi di garofano,274.0,Erbe e spezie
coriandolo,23.0,Erbe e spezie
crescione,32.0,Erbe e spezie
zenzero cristallizzato,335.0,Erbe e spezie
cumino,375.0,Erbe e spezie
curry,325.0,Erbe e spezie
tarassaco,45.0,Erbe e spezie
aneto,43.0,Erbe e spezie
finocchio,31.0,Erbe e spezie
semi di finocchio,345.0,Erbe e spezie
aglio,149.0,Erbe e spezie
aglio in polvere,331.0,Erbe e spezie
sale all'aglio,0.0,Erbe e spezie
zenzero,80.0,Erbe e spezie
foglie di vite,93.0,Erbe e spezie
rafano,48.0,Erbe e spezie
sale iodato,0.0,Erbe e spezie
jalapeño,13.0,Erbe e spezie
ginepro,45.0,Erbe e spezie
liquirizia,375.0,Erbe e spezie
dado maggi,104.0,Erbe e spezie
maggiorana,271.0,Erbe e spezie
cipolla tritata,40.0,Erbe e spezie
menta,70.0,Erbe e spezie
semi di senape,508.0,Erbe e spezie
noce moscata,525.0,Erbe e spezie
okra / gumbo,33.0,Erbe e spezie
cipolla,40.0,Erbe e spezie
cipolla in polvere,341.0,Erbe e spezie
buccia d'arancia,97.0,Erbe e spezie
origano,265.0,Erbe e spezie
prezzemolo,36.0,Erbe e spezie
pastinaca,75.0,Erbe e spezie
pepe,251.0,Erbe e spezie
semi di papavero,525.0,Erbe e spezie
peperoncino rosso,251.0,Erbe e spezie
aceto di vino rosso,19.0,Erbe e spezie
rosmarino,131.0,Erbe e spezie
zafferano,310.0,Erbe e spezie
salvia,315.0,Erbe e spezie
sale,0.0,Erbe e spezie
sale marino,0.0,Erbe e spezie
semi di sesamo,573.0,Erbe e spezie
stevia,0.0,Erbe e spezie
tamarindo,239.0,Erbe e spezie
taro,112.0,Erbe e spezie
dragoncello / estragone,295.0,Erbe e spezie
timo,276.0,Erbe e spezie
curcuma,354.0,Erbe e spezie
vanillina,288.0,Erbe e spezie
aceto,18.0,Erbe e spezie
pepe bianco,296.0,Erbe e spezie
igname / patata dolce,118.0,Erbe e spezie
baccello di vaniglia,250.0,Erbe e spezie
foglie di cicoria,23.0,Erbe e spezie
borragine,21.0,Erbe e spezie
capperi,23.0,Erbe e spezie
alloro,313.0,Erbe e spezie
vaniglia,272.0,Erbe e spezie
paprika,159.0,Erbe e spezie
anguria / cocomero,30.0,Frutta secca e semi
mandorle,575.0,Frutta secca e semi
pistacchi,562.0,Frutta secca e semi
semi di girasole,584.0,Frutta secca e semi
noci,654.0,Frutta secca e semi
semi di zucca,559.0,Frutta secca e semi
arachidi / nocciole,567.0,Frutta secca e semi
semi di chia,486.0,Frutta secca e semi
noce di cocco,354.0,Frutta secca e semi
piselli,81.0,Frutta secca e semi
semi di lino,534.0,Frutta secca e semi
anacardi,553.0,Frutta secca e semi
noci pecan,691.0,Frutta secca e semi
noci brasiliane,656.0,Frutta secca e semi
pinoli,673.0,Frutta secca e semi
castagne,213.0,Frutta secca e semi
noci di macadamia,718.0,Frutta secca e semi
semi di sesamo,573.0,Frutta secca e semi
nocciole,628.0,Frutta secca e semi
fagioli di soia,147.0,Frutta secca e semi
germogli di alfalfa,23.0,Frutta secca e semi
semi di papavero,525.0,Frutta secca e semi
ghiande,387.0,Frutta secca e semi
semi di loto,89.0,Frutta secca e semi
faggina / faggiola,576.0,Frutta secca e semi
castagna,194.0,Frutta secca e semi
semi di cotone,506.0,Frutta secca e semi
noce bianca,612.0,Frutta secca e semi
noce nera,657.0,Frutta secca e semi
noci di ginkgo,182.0,Frutta secca e semi
fagioli pinto,347.0,Frutta secca e semi
frutto dell'albero del pane,191.0,Frutta secca e semi
fiocchi di latte,98.0,Formaggio cremoso
formaggio cremoso,342.0,Formaggio cremoso
formaggio cremoso alle erbe,342.0,Formaggio cremoso
formaggio di capra,364.0,Formaggio cremoso
formaggio al rafano,48.0,Formaggio cremoso
mascarpone,450.0,Formaggio cremoso
obatzda,303.0,Formaggio cremoso
formaggio cremoso philadelphia / philadelphia,342.0,Formaggio cremoso
formaggio cremoso all'erba cipollina,342.0,Formaggio cremoso
feta cremosa spalmabile,342.0,Formaggio cremoso
formaggio cremoso all'aglio,342.0,Formaggio cremoso
formaggio cremoso alle olive,342.0,Formaggio cremoso
formaggio cremoso alle noci,342.0,Formaggio cremoso
stracchino / certosa / crescenza,248.0,Formaggio cremoso
ajvar,18.0,Salse e condimenti
salsa arrabbiata,36.0,Salse e condimenti
salsa barbecue,150.0,Salse e condimenti
besciamella,225.0,Salse e condimenti
salsa bernese,414.0,Salse e condimenti
ragù,106.0,Salse e condimenti
condimento caesar salad,429.0,Salse e condimenti
salsa alla cacciatora,45.0,Salse e condimenti
salsa chili,112.0,Salse e condimenti
salsa alla panna,180.0,Salse e condimenti
ketchup al curry,124.0,Salse e condimenti
salsa al curry,26.0,Salse e condimenti
sugo di carne / salsa bruna,53.0,Salse e condimenti
salsa per hamburger,383.0,Salse e condimenti
harissa,52.0,Salse e condimenti
salsa olandese,535.0,Salse e condimenti
salsa al rafano / cren,48.0,Salse e condimenti
ketchup,100.0,Salse e condimenti
maionese,692.0,Salse e condimenti
senape,60.0,Salse e condimenti
salsa alla senape,645.0,Salse e condimenti
salsa all'arancia,179.0,Salse e condimenti
pesto,458.0,Salse e condimenti
remoulade,635.0,Salse e condimenti
pasta di sesamo,595.0,Salse e condimenti
panna acida,217.0,Salse e condimenti
salsa alla panna acida,60.0,Salse e condimenti
salsa di soia,67.0,Salse e condimenti
salsa agrodolce,179.0,Salse e condimenti
tabasco,70.0,Salse e condimenti
salsa teriyaki,89.0,Salse e condimenti
concentrato di pomodoro,82.0,Salse e condimenti
passata di pomodoro,38.0,Salse e condimenti
salsa di pomodoro,24.0,Salse e condimenti
tzatziki,94.0,Salse e condimenti
salsa worcestershire,78.0,Salse e condimenti
condimento all'aceto balsamico,290.0,Salse e condimenti
condimento all'italiana,293.0,Salse e condimenti
condimento ranch,510.0,Salse e condimenti
condimento allo yogurt,45.0,Salse e condimenti
condimento alla francese,60.0,Salse e condimenti
condimento greco,467.0,Salse e condimenti
condimento per insalate,449.0,Salse e condimenti
sambal oelek,21.0,Salse e condimenti
vinaigrette,120.0,Salse e condimenti
salsa senape e miele,464.0,Salse e condimenti
salsa alle noci,337.0,Salse e condimenti
aioli,667.0,Salse e condimenti
pesto alla siciliana,406.0,Salse e condimenti
germogli di bambù,27.0,Legumi
fagioli neri,341.0,Legumi
ceci neri,364.0,Legumi
lenticchie marroni,353.0,Legumi
ceci,364.0,Legumi
dahl,230.0,Legumi
tofu secco,91.0,Legumi
tofu compatto,70.0,Legumi
flageolet,85.0,Legumi
fagiolini,31.0,Legumi
lenticchie verdi,257.0,Legumi
lenticchie,353.0,Legumi
marroni,210.0,Legumi
miso,199.0,Legumi
okra / gumbo,33.0,Legumi
arachidi / noccioline,567.0,Legumi
piselli,42.0,Legumi
noci pecan,691.0,Legumi
fagioli rossi / fagioli borlotti,124.0,Legumi
lenticchie rosse,329.0,Legumi
tofu vellutato,55.0,Legumi
formaggio di soia,235.0,Legumi
maionese di soia,322.0,Legumi
fave di soia,471.0,Legumi
yogurt di soia,66.0,Legumi
fagioli di soia,147.0,Legumi
piselli,42.0,Legumi
tempeh,193.0,Legumi
tofu,76.0,Legumi
fagioli bianchi,336.0,Legumi
lenticchie gialle,304.0,Legumi
germogli,30.0,Legumi
noce bianca,612.0,Legumi
fagioli neri,341.0,Legumi
tofu fritto,271.0,Legumi
fagioli rossi kidney,337.0,Legumi
fagioli mung / soia verde,12.0,Legumi
fagioli pinto,347.0,Legumi
fagioli borlotti,335.0,Legumi
edamame,147.0,Legumi
fave,340.0,Legumi
cicerchie,296.0,Legumi
lupini,330.0,Legumi
asiago,392.0,Formaggio
babybel,333.0,Formaggio
formaggio erborinato,353.0,Formaggio
brie,334.0,Formaggio
camembert,300.0,Formaggio
formaggio cheddar,403.0,Formaggio
fonduta al formaggio,228.0,Formaggio
formaggio chester,387.0,Formaggio
fiocchi di latte,98.0,Formaggio
formaggio olandese,393.0,Formaggio
edam,357.0,Formaggio
emmental,357.0,Formaggio
feta,264.0,Formaggio
fontina,389.0,Formaggio
formaggio di capra,364.0,Formaggio
gorgonzola,350.0,Formaggio
gouda,356.0,Formaggio
parmigiano grattugiato,431.0,Formaggio
gruviera,413.0,Formaggio
halloumi,321.0,Formaggio
havarti,371.0,Formaggio
formaggio italiano,397.0,Formaggio
jarlsberg,352.0,Formaggio
leerdammer,344.0,Formaggio
manchego,320.0,Formaggio
mozzarella,280.0,Formaggio
munster,368.0,Formaggio
neufchâtel,253.0,Formaggio
parmigiano,431.0,Formaggio
pecorino,387.0,Formaggio
provolone,351.0,Formaggio
formaggio raclette,357.0,Formaggio
ricotta,174.0,Formaggio
roquefort,369.0,Formaggio
formaggio di pecora,364.0,Formaggio
formaggio stilton,393.0,Formaggio
formaggio svizzero,380.0,Formaggio
formaggio spalmabile,290.0,Formaggio
formaggio morbido,268.0,Formaggio
formaggio alla griglia,350.0,Formaggio
bitto,300.0,Formaggio
bra,401.0,Formaggio
caciocavallo,340.0,Formaggio
castelmagno,410.0,Formaggio
grana padano,381.0,Formaggio
parmiggiano reggiano,374.0,Formaggio
montasio,384.0,Formaggio
mozzarella di bufala,247.0,Formaggio
pecorino romano,394.0,Formaggio
pecorino sardo,414.0,Formaggio
pecorino toscano,378.0,Formaggio
piave,464.0,Formaggio
stracchino / certosa / crescenza,248.0,Formaggio
quartirolo,297.0,Formaggio
raschera,270.0,Formaggio
stelvio,373.0,Formaggio
taleggio,294.0,Formaggio
toma piemontese,371.0,Formaggio
casera valtellina,356.0,Formaggio
olio di mandorle,882.0,Oli vegetali
olio di noccioli di albicocca,889.0,Oli vegetali
olio di argan,896.0,Oli vegetali
olio di avocado,857.0,Oli vegetali
olio di babassu,884.0,Oli vegetali
