,0,1,2,3
1,Proteine(%): 20.5,,,
2,Lisina:,1817,8.86,
3,Istidina:,717,3.5,
4,Arginina:,1307,6.38,
5,Acido aspartico:,1964,9.58,
6,Treonina:,842,4.11,
7,Serina:,807,3.94,
8,Acido glutamico:,3410,16.63,
9,Prolina:,958,4.67,
10,Glicina:,1245,6.07,
11,Alanina:,1286,6.27,
12,Cistina:,231,1.13,
13,Valina:,965,4.71,
14,Metionina:,563,2.75,
15,Isoleucina:,881,4.3,
16,Leucina:,1686,8.22,
17,Tirosina:,670,3.27,
18,Fenilalanina:,805,3.93,
19,Triptofano:,186,0.91,
20,Indice Chimico:,83,,
21,Aminoacido limitante:,Trip.,,
