,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,"30,50%",
2,Acido aspartico,3069g,10.07
3,Acido glutamico,4944g,16.22
4,Alanina,1960g,6.43
5,Aminoacido limitante,0g,ND
6,Arginina,1914g,6.28
7,Cistina,317g,1.04
8,Fenilalanina,1210g,3.97
9,Glicina,1740g,5.71
10,Indice chimico,90g,ND
11,Isoleucina,1591g,5.22
12,Istidina,923g,3.03
13,Leucina,2640g,8.66
14,Lisina,2622g,8.60
15,Metionina,835g,2.74
16,Prolina,1320g,4.33
17,Serina,1226g,4.02
18,Tirosina,1030g,3.38
19,Treonina,1259g,4.13
20,Triptofano,302g,0.99
21,Valina,1679g,5.51
