Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,2 mg","104,8 %"
Vitamina B11,"0,2 mg","39,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","29,4 %"
Vitamina B3,"2,3 mg","14,2 %"
Vitamina B5,"4,0 mg","66,6 %"
Vitamina B6,"1,2 mg","82,9 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
