Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,5 mg","132,0 %"
Vitamina B11,"< 0,1 mg","4,5 %"
Vitamina B12,"< 0,1 mg","1.143,1 %"
Vitamina B2,"3,3 mg","233,3 %"
Vitamina B3,"24,9 mg","155,9 %"
Vitamina B5,"11,6 mg","192,8 %"
Vitamina B6,"1,7 mg","119,9 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
