Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,"4,3 g"
- Acidi Grassi saturi,"3,1 g"
Carboidrati,19 g
- Zuccheri,16 g
Proteine,4 g
Sale,"0,11 g"
Sodio,"0,043 g"
Nutrition score - France,5
Nutri-Score,C
