,0,1,2,3
1,Proteine(%): 22,,,
2,Lisina:,2002,9.25,
3,Istidina:,849,3.96,
4,Arginina:,1320,6.36,
5,Acido aspartico:,2134,10,
6,Treonina:,898,4.22,
7,Serina:,900,4.08,
8,Acido glutamico:,3751,17.05,
9,Prolina:,904,4.35,
10,Glicina:,1093,5.39,
11,Alanina:,1353,6.34,
12,Cistina:,240,1.07,
13,Valina:,1063,4.82,
14,Metionina:,631,2.97,
15,Isoleucina:,950,4.43,
16,Leucina:,1892,8.61,
17,Tirosina:,779,3.48,
18,Fenilalanina:,898,4.12,
19,Triptofano:,246,1.12,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
