,0,1
0,Composizione chimica,valore per 100g
1,Lipidi totali,8.10
2,Saturi totali,3.35
3,C12 0,0g
4,C14 0,0.31
5,C14 1,0g
6,C15 0,ND
7,C16 0,2.71
8,C16 1,0.22
9,C17 0,ND
10,C17 1,ND
11,C18 0,0.31
12,C18 1,0.95
13,C18 2,0.15
14,C18 3,0.09
15,C20 0,Tracce
16,C20 1,0.09
17,C20 2,ND
18,C20 3,ND
19,C20 4,Tracce
20,C20 5,0.80
21,C22 0,0g
22,C22 1,0.09
23,C22 6,2.15
24,C4 0 c10 0,0g
25,Monoinsaturi totali,1.51
26,Nitrati,ND
27,Nitriti,ND
28,Polinsaturi totali,3.20
