Valori nutrizionali,per porzione,% RDA
Valore calorico,95 kcal 396 kJ,"4,7 %"
Grassi,"0,3 g","0,5 %"
Grassi saturi,"< 0,1 g","0,2 %"
Grassi monoinsaturi,"< 0,1 g","< 0,1 %"
Grassi polinsaturi,"< 0,1 g","0,6 %"
Carboidrati,"25,1 g","9,4 %"
Zuccheri,"18,9 g","37,8 %"
Proteine,"0,5 g","0,6 %"
Fibre alimentari,"4,4 g","1,5 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"155,7 g","7,8 %"
