Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Plant milks,Milk substitute,Plant-based beverages,Non-Alcoholic beverages,Cereals and their products,Bevande,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"0,9 g","-50%1,8 g","-49%1,78 g","+3%0,874 g","+49%0,604 g","-83%5,31 g","+71%0,527 g","-86%6,24 g","-92%10,7 g","-91%9,61 g"
Carboidrati,"13,1 g","+92%6,81 g","+88%6,95 g","+41%9,27 g","+57%8,35 g","-78%60,4 g","+45%9,03 g","-78%59,9 g","-72%47,6 g","-70%43,9 g"
Proteine,"0,2 g","-87%1,5 g","-86%1,47 g","-76%0,838 g","-74%0,761 g","-98%9,84 g","-73%0,745 g","-98%9,48 g","-97%7,76 g",-97%7 g
