Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (250 ml),Sugared beverages,Fruit-based beverages,Plant-based beverages,Bevande,Cibi e bevande a base vegetale
Grassi,"0,5 g","1,25 g","-16%0,593 g","+1.099%0,042 g","-43%0,874 g","-5%0,527 g","-95%9,61 g"
- Acidi Grassi saturi,"0,1 g","0,25 g","-29%0,14 g","+1.100%0,008 g","-26%0,135 g","-15%0,118 g","-95%2,12 g"
Carboidrati,11 g,"27,5 g",-27%15 g,"-8%11,9 g","+19%9,27 g","+22%9,03 g","-75%43,9 g"
- Zuccheri,11 g,"27,5 g","-17%13,2 g","-2%11,2 g","+35%8,14 g","+36%8,07 g","+25%8,81 g"
Proteine,"0,5 g","1,25 g","-59%1,23 g","+89%0,264 g","-40%0,838 g","-33%0,745 g",-93%7 g
Sale,0 g,0 g,"-100%0,059 g","-100%0,006 g","-100%0,05 g","-100%0,136 g","-100%0,533 g"
Sodio,0 g,0 g,"-100%0,023 g","-100%0,002 g","-100%0,02 g","-100%0,054 g","-100%0,21 g"
Nutrition score - France,15,15,"+30%11,5","+43%10,5","+161%5,75","+115%6,99","+288%3,87"
Nutri-Score,E,E,E,E,D,D,C
