,0,1,2,3
1,Proteine(%): 21.7,,,
2,Lisina:,1557,7.18,
3,Istidina:,473,2.18,
4,Arginina:,1971,9.08,
5,Acido aspartico:,2269,10.46,
6,Treonina:,841,3.88,
7,Serina:,898,4.14,
8,Acido glutamico:,3341,15.4,
9,Prolina:,808,3.72,
10,Glicina:,838,3.86,
11,Alanina:,845,3.89,
12,Cistina:,232,1.07,
13,Valina:,973,4.48,
14,Metionina:,189,0.87,
15,Isoleucina:,884,4.07,
16,Leucina:,1407,6.48,
17,Tirosina:,567,2.61,
18,Fenilalanina:,950,4.38,
19,Triptofano:,194,0.89,
20,Indice Chimico:,78,,
21,Aminoacido limitante:,Solf.,,
