Minerali,per porzione,% RDA
Calcio,"16,5 mg","1,7 %"
Rame,"< 0,1 mg","0,7 %"
Ferro,"0,2 mg","1,1 %"
Magnesio,"8,0 mg","2,7 %"
Manganese,"< 0,1 mg","1,7 %"
Fosforo,"3,9 mg","0,6 %"
Potassio,"19,8 mg","1,0 %"
Selenio,"< 0,1 mg","6,2 %"
Zinco,"< 0,1 mg","0,7 %"
