,0,1,2,3
1,Proteine(%): 19.2,,,
2,Lisina:,1750,9.11,
3,Istidina:,820,4.27,
4,Arginina:,1160,6.04,
5,Acido aspartico:,1920,10,
6,Treonina:,830,4.32,
7,Serina:,750,3.91,
8,Acido glutamico:,2780,14.48,
9,Prolina:,770,4.01,
10,Glicina:,1030,5.36,
11,Alanina:,1100,5.73,
12,Cistina:,190,0.99,
13,Valina:,960,5,
14,Metionina:,560,2.92,
15,Isoleucina:,920,4.79,
16,Leucina:,1460,7.6,
17,Tirosina:,650,3.39,
18,Fenilalanina:,790,4.11,
19,Triptofano:,140,0.73,
20,Indice Chimico:,66,,
21,Aminoacido limitante:,Trip.,,
