Valori nutrizionali,per porzione,% RDA
Valore calorico,211 kcal 883 kJ,"10,5 %"
Grassi,"5,8 g","8,9 %"
Grassi saturi,"3,7 g","17,0 %"
Grassi monoinsaturi,"1,7 g","5,9 %"
Grassi polinsaturi,"0,0 g","0,0 %"
Carboidrati,"11,1 g","4,1 %"
Zuccheri,"11,1 g","22,1 %"
Proteine,"28,6 g","39,1 %"
Sale,"0,3 g","4,8 %"
Fibre alimentari,"0,0 g","0,0 %"
Sodio,"0,0 g","0,0 %"
