,0,1,2,3
1,Proteine(%): 5.7,,,
2,Lisina:,405,7.08,
3,Istidina:,157,2.74,
4,Arginina:,333,5.83,
5,Acido aspartico:,737,12.89,
6,Treonina:,238,4.16,
7,Serina:,351,6.14,
8,Acido glutamico:,928,16.22,
9,Prolina:,252,4.4,
10,Glicina:,219,3.83,
11,Alanina:,243,4.25,
12,Cistina:,64,1.12,
13,Valina:,348,6.08,
14,Metionina:,69,1.2,
15,Isoleucina:,307,5.37,
16,Leucina:,494,8.64,
17,Tirosina:,193,3.37,
18,Fenilalanina:,341,5.96,
19,Triptofano:,61,1.07,
20,Indice Chimico:,93,,
21,Aminoacido limitante:,Solf.,,
