Valori nutrizionali,per porzione,% RDA
Valore calorico,86 kcal 358 kJ,"4,3 %"
Grassi,"7,2 g","11,1 %"
Grassi saturi,"1,0 g","4,6 %"
Grassi monoinsaturi,"2,7 g","9,4 %"
Grassi polinsaturi,"3,2 g","21,0 %"
Carboidrati,"3,9 g","1,5 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"2,7 g","3,7 %"
Fibre alimentari,"1,4 g","0,5 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,5 g","< 0,1 %"
