,0,1,2,3
1,Proteine(%): 18.5,,,
2,Lisina:,1684,9.1,
3,Istidina:,522,2.82,
4,Arginina:,1251,6.76,
5,Acido aspartico:,1752,9.47,
6,Treonina:,960,5.19,
7,Serina:,788,4.26,
8,Acido glutamico:,2712,14.66,
9,Prolina:,783,4.23,
10,Glicina:,960,5.19,
11,Alanina:,1099,5.94,
12,Cistina:,215,1.16,
13,Valina:,975,5.27,
14,Metionina:,586,3.17,
15,Isoleucina:,960,5.19,
16,Leucina:,1480,8,
17,Tirosina:,633,3.42,
18,Fenilalanina:,751,4.06,
19,Triptofano:,211,1.14,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
