,0,1,2,3
1,Proteine(%): 12.3,,,
2,Lisina:,360,2.93,
3,Istidina:,282,2.29,
4,Arginina:,586,4.76,
5,Acido aspartico:,633,5.15,
6,Treonina:,381,3.1,
7,Serina:,595,4.84,
8,Acido glutamico:,3867,31.44,
9,Prolina:,1266,10.29,
10,Glicina:,493,4.01,
11,Alanina:,462,3.76,
12,Cistina:,347,2.82,
13,Valina:,576,4.68,
14,Metionina:,197,1.6,
15,Isoleucina:,449,3.65,
16,Leucina:,853,6.93,
17,Tirosina:,414,3.37,
18,Fenilalanina:,573,4.66,
19,Triptofano:,134,1.09,
20,Indice Chimico:,50,,
21,Aminoacido limitante:,Lis.,,
