,0,1,2,3
1,Proteine(%): 14.7,,,
2,Lisina:,1189,8.09,
3,Istidina:,464,3.16,
4,Arginina:,882,6,
5,Acido aspartico:,1507,10.25,
6,Treonina:,614,4.18,
7,Serina:,614,4.18,
8,Acido glutamico:,2333,15.87,
9,Prolina:,794,5.4,
10,Glicina:,1061,7.22,
11,Alanina:,942,6.41,
12,Cistina:,159,1.08,
13,Valina:,758,5.16,
14,Metionina:,401,2.73,
15,Isoleucina:,713,4.85,
16,Leucina:,1207,8.21,
17,Tirosina:,467,3.18,
18,Fenilalanina:,569,3.87,
19,Triptofano:,146,0.99,
20,Indice Chimico:,90,,
21,Aminoacido limitante:,Trip.,,
