Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","9,2 %"
Vitamina B11,"0,2 mg","50,1 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","7,2 %"
Vitamina B3,"1,3 mg","8,2 %"
Vitamina B5,"0,4 mg","6,2 %"
Vitamina B6,"0,1 mg","10,2 %"
Vitamina C,"2,1 mg","2,6 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
