Valori nutrizionali,per porzione,% RDA
Valore calorico,44 kcal 186 kJ,"2,2 %"
Grassi,"0,9 g","1,3 %"
Grassi saturi,"0,1 g","0,6 %"
Grassi monoinsaturi,"< 0,1 g","< 0,1 %"
Grassi polinsaturi,"0,4 g","2,4 %"
Carboidrati,"6,8 g","2,5 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"4,9 g","6,8 %"
Fibre alimentari,"3,7 g","1,2 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,7 g","0,1 %"
Acqua,"218,1 g","10,9 %"
