,0,1,2,3
1,Proteine(%): 21.3,,,
2,Lisina:,1938,8.96,
3,Istidina:,822,3.83,
4,Arginina:,1278,6.16,
5,Acido aspartico:,2066,9.68,
6,Treonina:,869,4.08,
7,Serina:,871,3.95,
8,Acido glutamico:,3632,16.51,
9,Prolina:,875,4.21,
10,Glicina:,1059,5.22,
11,Alanina:,1310,6.14,
12,Cistina:,232,1.04,
13,Valina:,1029,4.67,
14,Metionina:,611,2.87,
15,Isoleucina:,920,4.29,
16,Leucina:,1832,8.33,
17,Tirosina:,754,3.37,
18,Fenilalanina:,869,3.99,
19,Triptofano:,239,1.08,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
