Minerali,per porzione,% RDA
Calcio,"35,0 mg","3,5 %"
Rame,"< 0,1 mg","6,8 %"
Ferro,"0,8 mg","5,3 %"
Magnesio,"65,0 mg","21,7 %"
Manganese,"< 0,1 mg","2,5 %"
Fosforo,"502,5 mg","71,8 %"
Potassio,"1.092,5 mg","54,6 %"
Selenio,"< 0,1 mg","304,2 %"
Zinco,"1,1 mg","16,1 %"
