,0,1,2,3
1,Proteine(%): 15.8,,,
2,Lisina:,1250,7.91,
3,Istidina:,394,2.49,
4,Arginina:,1103,6.98,
5,Acido aspartico:,1524,9.64,
6,Treonina:,826,5.23,
7,Serina:,1170,7.48,
8,Acido glutamico:,1885,11.93,
9,Prolina:,685,4.34,
10,Glicina:,490,3.1,
11,Alanina:,878,5.55,
12,Cistina:,328,2.08,
13,Valina:,993,6.29,
14,Metionina:,422,2.67,
15,Isoleucina:,842,5.33,
16,Leucina:,1347,8.52,
17,Tirosina:,663,4.24,
18,Fenilalanina:,707,4.47,
19,Triptofano:,237,1.5,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Ist.,,
