Minerali,per porzione,% RDA
Calcio,"19,3 mg","1,9 %"
Rame,"0,3 mg","27,1 %"
Ferro,"2,5 mg","16,5 %"
Magnesio,"28,5 mg","9,5 %"
Manganese,"0,4 mg","19,5 %"
Fosforo,"133,2 mg","19,0 %"
Potassio,"247,9 mg","12,4 %"
Selenio,"< 0,1 mg","1,5 %"
Zinco,"1,2 mg","16,6 %"
