Minerali,per porzione,% RDA
Calcio,"40,8 mg","4,1 %"
Rame,"0,5 mg","51,3 %"
Ferro,"7,5 mg","50,2 %"
Magnesio,"104,3 mg","34,8 %"
Manganese,"< 0,1 mg","4,5 %"
Fosforo,"771,1 mg","110,2 %"
Potassio,"1.129,5 mg","56,5 %"
Selenio,"< 0,1 mg","313,0 %"
Zinco,"15,1 mg","215,1 %"
