,0,1,2,3
1,Proteine(%): 23.6,,,
2,Lisina:,1701,7.21,
3,Istidina:,670,2.84,
4,Arginina:,1342,5.69,
5,Acido aspartico:,2828,11.98,
6,Treonina:,938,3.97,
7,Serina:,1311,5.56,
8,Acido glutamico:,3493,14.8,
9,Prolina:,843,3.57,
10,Glicina:,896,3.8,
11,Alanina:,990,4.19,
12,Cistina:,201,0.85,
13,Valina:,1085,4.6,
14,Metionina:,250,1.06,
15,Isoleucina:,990,4.19,
16,Leucina:,1799,7.62,
17,Tirosina:,597,2.53,
18,Fenilalanina:,1232,5.22,
19,Triptofano:,226,0.96,
20,Indice Chimico:,76,,
21,Aminoacido limitante:,Solf.,,
