,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,15%,
2,Acido aspartico,1500g,10
3,Acido glutamico,3620g,24.13
4,Alanina,700g,4.67
5,Aminoacido limitante,Lisina,ND
6,Arginina,1740g,11.60
7,Cistina,280g,1.87
8,Fenilalanina,790g,5.27
9,Glicina,800g,5.33
10,Indice chimico,60g,ND
11,Isoleucina,730g,4.87
12,Istidina,400g,2.67
13,Leucina,1280g,8.53
14,Lisina,520g,3.47
15,Metionina,270g,1.80
16,Prolina,690g,4.60
17,Serina,850g,5.67
18,Tirosina,490g,3.27
19,Treonina,590g,3.93
20,Triptofano,240g,1.60
21,Valina,910g,6.07
