Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","33,0 %"
Vitamina B11,"0,2 mg","62,4 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","7,8 %"
Vitamina B3,"0,9 mg","5,9 %"
Vitamina B5,"0,7 mg","11,3 %"
Vitamina B6,"0,2 mg","11,6 %"
Vitamina C,"0,7 mg","0,9 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
