,0,1
0,BRIE,
1,,
2,BURRINI,
3,,
4,BUTIRRO CALABRO,
5,,
6,CACIOCAVALLO,
7,,
8,CACIORICOTTA,
9,,
10,CACIOTTA MISTA,
11,,CACIOTTA DI PECORA
12,,CACIOTTA TOSCANA
13,,
14,CACIOTTINA FRESCA,
15,,CACIOTTINA FRESCA
16,,CACIOTTINA MISTA
17,,CACIOTTINA VACCINA
18,,
19,CAMEMBERT,
20,,
21,CHEDDAR,
22,,
23,CRESCENZA,
24,,
25,DOLCE VERDE,
26,,
27,EMMENTHAL,
28,,
29,FETA,
30,,
31,FIOCCHI DI LATTE FORMAGGIO,
32,,
33,FIOR DI LATTE,
34,,
35,FONTINA,
36,,
37,FORMAGGINO,
38,,FORMAGGINO LIGHT
39,,
40,FORMAGGIO MOLLE DA TAVOLA,
41,,
42,FORMAGGIO CREMOSO SPALMABILE,
43,,FORMAGGIO CREMOSO SPALMABILE
44,,
45,GORGONZOLA,
46,,
47,GRANA,
48,,
49,GROVIERA,
50,,
51,ITALICO,
52,,
53,LATTERIA,
54,,
55,MASCARPONE,
56,,
57,MOZZARELLA DI BUFALA,
58,,MOZZARELLA DI VACCA
59,,
60,PARMIGIANO,
61,,
62,PECORINO,
63,,PECORINO ROMANO
64,,PECORINO SICILIANO
65,,
66,PROVOLONE,
67,,
68,RICOTTA DI BUFALA,
69,,RICOTTA DI PECORA
70,,RICOTTA DI VACCA
71,,
72,ROBIOLA,
73,,
74,SCAMORZA,
75,,
76,STRACCHINO,
77,,
78,TALEGGIO,
