,0,1,2,3
1,Proteine(%): 30.7,,,
2,Lisina:,2822,9.19,
3,Istidina:,1497,4.88,
4,Arginina:,2003,6.52,
5,Acido aspartico:,2972,9.68,
6,Treonina:,1368,4.46,
7,Serina:,,,
8,Acido glutamico:,4911,16,
9,Prolina:,1142,3.72,
10,Glicina:,1432,4.67,
11,Alanina:,1917,6.24,
12,Cistina:,732,2.39,
13,Valina:,1734,5.65,
14,Metionina:,894,2.91,
15,Isoleucina:,1637,5.33,
16,Leucina:,2595,8.45,
17,Tirosina:,754,2.46,
18,Fenilalanina:,1314,4.28,
19,Triptofano:,280,0.91,
20,Indice Chimico:,83,,
21,Aminoacido limitante:,Trip.,,
