Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","24,7 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"1,2 mg","87,5 %"
Vitamina B3,"22,7 mg","141,8 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"18,1 mg","22,7 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
