,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"72,20g",-
3,Carboidrati disponibili,"1,70g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,0,-
6,Proteine,"15,70g",-
7,Grassi (Lipidi),"7,60g",-
8,Saturi totali,"3,20g",-
9,Monoinsaturi totali,"3,52g",-
10,Polinsaturi totali,"0,50g",-
11,Colesterolo,"48,60mg",-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,"2,10mg",0.14% RDA
17,Potassio,311mg,6.62% RDA
18,Ferro,"0,49mg",6.13% RDA
19,Calcio,6mg,0.60% RDA
20,Fosforo,126mg,18% RDA
21,Magnesio,12mg,2.86% RDA
22,Zinco,"1,10mg",10% RDA
23,Rame,"0,08mg",8% RDA
24,Selenio,0,0% RDA
25,Tiamina (Vit. B1),"0,67mg",55.83% RDA
26,Riboflavina (Vit. B2),"0,12mg",9.23% RDA
27,Niacina (Vit. B3 o PP),"4,40mg",27.50% RDA
28,Vitamina A retinolo eq.,0,0% RDA
29,Vitamina C,0,0% RDA
30,Vitamina E,"0,09mg",0.60% RDA
31,Vitamina B6,"0,37mg",28.46% RDA
32,Vitamina B12,"0,09µg",3.75% RDA
33,Manganese,"0,01mg",0.43% RDA
